work_id,canonical_paper_id,doi,pmid,title,abstract,authors,year,venue,citation_count_work,publication_types,decision,roles,core_gate,confidence,scale_relationship,seed_note
work_39c260e37ed45039,62d36f23580ae0c822ebc7de69ae603d85441bfc,10.1098/rstb.1986.0056,22462104,The structure of the nervous system of the nematode Caenorhabditis elegans,"The structure and connectivity of the nervous system of the nematode Caenorhabditis elegans has been deduced from reconstructions of electron micrographs of serial sections. The hermaphrodite nervous system has a total complement of 302 neurons, which are arranged in an essentially invariant structure. Neurons with similar morphologies and connectivities have been grouped together into classes; there are 118 such classes. Neurons have simple morphologies with few, if any, branches. Processes from neurons run in defined positions within bundles of parallel processes, synaptic connections being made en passant. Process bundles are arranged longitudinally and circumferentially and are often adjacent to ridges of hypodermis. Neurons are generally highly locally connected, making synaptic connections with many of their neighbours. Muscle cells have arms that run out to process bundles containing motoneuron axons. Here they receive their synaptic input in defined regions along the surface of the bundles, where motoneuron axons reside. Most of the morphologically identifiable synaptic connections in a typical animal are described. These consist of about 5000 chemical synapses, 2000 neuromuscular junctions and 600 gap junctions.",J. White; Erica L. Southgate; J. Thomson; S. Brenner,1986,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",5857,article,core_relevant,['biological_application'],em_or_synaptic_reconstruction,1.0,nanoscale_only,Original C. elegans connectome (White et al. 1986). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_21c10d8f3b695a0c,60a3f1875699fba060c126e88df9ad30e599a0b8,10.1371/journal.pbio.0020329,15514700,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,"Three-dimensional (3D) structural information on many length scales is of central importance in biological research. Excellent methods exist to obtain structures of molecules at atomic, organelles at electron microscopic, and tissue at light-microscopic resolution. A gap exists, however, when 3D tissue structure needs to be reconstructed over hundreds of micrometers with a resolution sufficient to follow the thinnest cellular processes and to identify small organelles such as synaptic vesicles. Such 3D data are, however, essential to understand cellular networks that, particularly in the nervous system, need to be completely reconstructed throughout a substantial spatial volume. Here we demonstrate that datasets meeting these requirements can be obtained by automated block-face imaging combined with serial sectioning inside the chamber of a scanning electron microscope. Backscattering contrast is used to visualize the heavy-metal staining of tissue prepared using techniques that are routine for transmission electron microscopy. Low-vacuum (20-60 Pa H(2)O) conditions prevent charging of the uncoated block face. The resolution is sufficient to trace even the thinnest axons and to identify synapses. Stacks of several hundred sections, 50-70 nm thick, have been obtained at a lateral position jitter of typically under 10 nm. This opens the possibility of automatically obtaining the electron-microscope-level 3D datasets needed to completely reconstruct the connectivity of neuronal circuits.",Winfried Denk; H. Horstmann,2004,PLoS Biology,1627,article,core_relevant,['acquisition_preparation'],connectomics_pipeline_tool,1.0,nanoscale_only,Foundational SBF-SEM method (Denk & Horstmann 2004). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_ab4936e9fe95de49,37288fe76a864233214b6a5e4cee29923e9c36b9,10.1016/j.cell.2015.06.054,26232230,Saturated Reconstruction of a Volume of Neocortex,"We describe automated technologies to probe the structure of neural tissue at nanometer resolution and use them to generate a saturated reconstruction of a sub-volume of mouse neocortex in which all cellular objects (axons, dendrites, and glia) and many sub-cellular components (synapses, synaptic vesicles, spines, spine apparati, postsynaptic densities, and mitochondria) are rendered and itemized in a database. We explore these data to study physical properties of brain tissue. For example, by tracing the trajectories of all excitatory axons and noting their juxtapositions, both synaptic and non-synaptic, with every dendritic spine we refute the idea that physical proximity is sufficient to predict synaptic connectivity (the so-called Peters' rule). This online minable database provides general access to the intrinsic complexity of the neocortex and enables further data-driven inquiries.",N. Kasthuri; K. Hayworth; D. Berger; R. Schalek; J. Conchello; Seymour Knowles-Barley; Dongil Lee; A. Vázquez-Reina; V. Kaynig; T. Jones; Mike Roberts; Josh L. Morgan; J. Tapia; H. Seung; William R. Gray Roncal; J. Vogelstein; R. Burns; D. Sussman; C. Priebe; H. Pfister; J. Lichtman,2015,Cell,1031,article,core_relevant,['biological_application'],em_or_synaptic_reconstruction,1.0,nanoscale_only,Kasthuri saturated neocortex reconstruction (2015). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_5c2378945eccb27f,322384d2e32e306bcbbbbf372ca524ddb7fc78f6,10.1038/nature12346,23925239,Connectomic reconstruction of the inner plexiform layer in the mouse retina,"Comprehensive high-resolution structural maps are central to functional exploration and understanding in biology. For the nervous system, in which high resolution and large spatial extent are both needed, such maps are scarce as they challenge data acquisition and analysis capabilities. Here we present for the mouse inner plexiform layer--the main computational neuropil region in the mammalian retina--the dense reconstruction of 950 neurons and their mutual contacts. This was achieved by applying a combination of crowd-sourced manual annotation and machine-learning-based volume segmentation to serial block-face electron microscopy data. We characterize a new type of retinal bipolar interneuron and show that we can subdivide a known type based on connectivity. Circuit motifs that emerge from our data indicate a functional mechanism for a known cellular response in a ganglion cell that detects localized motion, and predict that another ganglion cell is motion sensitive.",M. Helmstaedter; K. Briggman; Srinivas C. Turaga; Viren Jain; H. Seung; W. Denk,2013,Nature,988,article,core_relevant,['biological_application'],em_or_synaptic_reconstruction,1.0,nanoscale_only,Helmstaedter mouse retina IPL connectome (2013); corpus had only the 2014 erratum. Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_3cf844f488b27a48,039d865a90fd00ab4ed62e70b625c51496fa76cb,10.1038/nature09818,21390125,Wiring specificity in the direction-selectivity circuit of the retina,"The proper connectivity between neurons is essential for the implementation of the algorithms used in neural computations, such as the detection of directed motion by the retina. The analysis of neuronal connectivity is possible with electron microscopy, but technological limitations have impeded the acquisition of high-resolution data on a large enough scale. Here we show, using serial block-face electron microscopy and two-photon calcium imaging, that the dendrites of mouse starburst amacrine cells make highly specific synapses with direction-selective ganglion cells depending on the ganglion cell's preferred direction. Our findings indicate that a structural (wiring) asymmetry contributes to the computation of direction selectivity. The nature of this asymmetry supports some models of direction selectivity and rules out others. It also puts constraints on the developmental mechanisms behind the formation of synaptic connections. Our study demonstrates how otherwise intractable neurobiological questions can be addressed by combining functional imaging with the analysis of neuronal connectivity using large-scale electron microscopy.",K. Briggman; M. Helmstaedter; W. Denk,2011,Nature,833,article,core_relevant,['biological_application'],em_or_synaptic_reconstruction,1.0,nanoscale_only,Briggman retinal direction-selectivity wiring (2011). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_7b437ce3ba4d27c5,7cfc1e85392d4007a90ecd05b7a0318252041c3c,10.1038/s41592-018-0049-4,30013046,High-precision automated reconstruction of neurons with flood-filling networks,"Reconstruction of neural circuits from volume electron microscopy data requires the tracing of cells in their entirety, including all their neurites. Automated approaches have been developed for tracing, but their error rates are too high to generate reliable circuit diagrams without extensive human proofreading. We present flood-filling networks, a method for automated segmentation that, similar to most previous efforts, uses convolutional neural networks, but contains in addition a recurrent pathway that allows the iterative optimization and extension of individual neuronal processes. We used flood-filling networks to trace neurons in a dataset obtained by serial block-face electron microscopy of a zebra finch brain. Using our method, we achieved a mean error-free neurite path length of 1.1 mm, and we observed only four mergers in a test set with a path length of 97 mm. The performance of flood-filling networks was an order of magnitude better than that of previous approaches applied to this dataset, although with substantially increased computational costs. Flood-filling networks are a deep-learning-based pipeline for reconstruction of neurons from electron microscopy datasets. The approach results in exceptionally low error rates, thereby reducing the need for extensive human proofreading.",Michał Januszewski; J. Kornfeld; Peter H. Li; Art Pope; T. Blakely; Larry F. Lindsey; Jeremy B. Maitin-Shepard; Mike Tyka; W. Denk; Viren Jain,2017,Nature Methods,382,article,core_relevant,['reconstruction_segmentation'],connectomics_pipeline_tool,1.0,nanoscale_only,Flood-filling networks (Januszewski et al. 2018). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_cf9199d8b0ccf668,2781da92e831d09488c3e1f38ca6d783429a2eb2,10.1038/nn.2868,21743472,High-accuracy neurite reconstruction for high-throughput neuroanatomy,"Neuroanatomic analysis depends on the reconstruction of complete cell shapes. High-throughput reconstruction of neural circuits, or connectomics, using volume electron microscopy requires dense staining of all cells, which leads even experts to make annotation errors. Currently, reconstruction speed rather than acquisition speed limits the determination of neural wiring diagrams. We developed a method for fast and reliable reconstruction of densely labeled data sets. Our approach, based on manually skeletonizing each neurite redundantly (multiple times) with a visualization-annotation software tool called KNOSSOS, is ∼50-fold faster than volume labeling. Errors are detected and eliminated by a redundant-skeleton consensus procedure (RESCOP), which uses a statistical model of how true neurite connectivity is transformed into annotation decisions. RESCOP also estimates the reliability of consensus skeletons. Focused reannotation of difficult locations promises a rather steep increase of reliability as a function of the average skeleton redundancy and thus the nearly error-free analysis of large neuroanatomical datasets.",M. Helmstaedter; K. Briggman; W. Denk,2011,Nature Neuroscience,291,article,core_relevant,['reconstruction_segmentation'],connectomics_pipeline_tool,1.0,nanoscale_only,Helmstaedter high-accuracy neurite reconstruction / KNOSSOS (2011). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
work_a83752a657d4ec4e,0bd0fe8691ed2bbaa5c19b24b301d32c41f2b7d1,10.1038/nature13240,24805243,Space-time wiring specificity supports direction selectivity in the retina,"How does the mammalian retina detect motion? This classic problem in visual neuroscience has remained unsolved for 50 years. In search of clues, here we reconstruct Off-type starburst amacrine cells (SACs) and bipolar cells (BCs) in serial electron microscopic images with help from EyeWire, an online community of ‘citizen neuroscientists’. On the basis of quantitative analyses of contact area and branch depth in the retina, we find evidence that one BC type prefers to wire with a SAC dendrite near the SAC soma, whereas another BC type prefers to wire far from the soma. The near type is known to lag the far type in time of visual response. A mathematical model shows how such ‘space–time wiring specificity’ could endow SAC dendrites with receptive fields that are oriented in space–time and therefore respond selectively to stimuli that move in the outward direction from the soma.",Jinseop S. Kim; M. Greene; A. Zlateski; Kisuk Lee; Mark Richardson; Srinivas C. Turaga; M. Purcaro; Matthew Balkam; A. Robinson; Bardia F. Behabadi; M. Campos; W. Denk; H. Seung,2014,Nature,494,article,core_relevant,['biological_application'],em_or_synaptic_reconstruction,1.0,nanoscale_only,Kim / EyeWirers space-time wiring specificity (2014). Human seed from Helmstaedter 2025 NRN coverage hole. Not in frozen discovery.
