source,target,edge_type
0096736824c6ba479dc6c25f3f905585c981fddb,7f2cdc3fb9950f604de58e9a4e301d18cbd227d0,citation
0096736824c6ba479dc6c25f3f905585c981fddb,9f5b0192104db084e10a8586f869869a04554b3b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,a6ee9fa4dc9366af18d8a0e861ca3b2fd2b2ce42,citation
0096736824c6ba479dc6c25f3f905585c981fddb,5155e8de5c38375b4eefea72d8a09833dc3a03c0,citation
0096736824c6ba479dc6c25f3f905585c981fddb,fcafa99e5d2671f237239f165e7d527855da7b4a,citation
0096736824c6ba479dc6c25f3f905585c981fddb,23c46a04b3775539e0a04c6c6aecded36432407b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,db3c148536c216d2cf6705882a2d92f73d4350fe,citation
0096736824c6ba479dc6c25f3f905585c981fddb,42abde7800c25b90ec1bb9c88dfbe2ab37e5ae16,citation
0096736824c6ba479dc6c25f3f905585c981fddb,9f61012bdb4d1999f69badd63761f8d43e5fde1c,citation
0096736824c6ba479dc6c25f3f905585c981fddb,c5e3d1886f8b81289fd746038d85b2375c1ee883,citation
0096736824c6ba479dc6c25f3f905585c981fddb,e0c631e49ac6125b0f9ff4fbe6cd1c56b78f8cb1,citation
0096736824c6ba479dc6c25f3f905585c981fddb,ce10a76bc07a78782bc4a08ce451c0fda1b402a2,citation
0096736824c6ba479dc6c25f3f905585c981fddb,b27a6a73443bfbfba914ebbce6871439b3aa0b92,citation
0096736824c6ba479dc6c25f3f905585c981fddb,114ee0eaf93b97a2c32cd9c65fba7c47e0f8988e,citation
0096736824c6ba479dc6c25f3f905585c981fddb,23f61398166030346d0f99c94a3106ae4f3ec982,citation
0096736824c6ba479dc6c25f3f905585c981fddb,3e34f105aec857eadff03f977020e525efa8d9aa,citation
0096736824c6ba479dc6c25f3f905585c981fddb,2c31d790da1e1e3f75197f214f03abc6ee62d80c,citation
0096736824c6ba479dc6c25f3f905585c981fddb,feec8b37445c5e814fdef9cdcd0a5881d442632f,citation
0096736824c6ba479dc6c25f3f905585c981fddb,335f6a09c099d0b449d67d9a5336a7f7821a7359,citation
0096736824c6ba479dc6c25f3f905585c981fddb,e0c2abd32c01f9c5041ad574801ecd97f4d737e8,citation
0096736824c6ba479dc6c25f3f905585c981fddb,e6cc2dc62f2a3a2dec466806e396968363369db6,citation
0096736824c6ba479dc6c25f3f905585c981fddb,f9437efefb541911e4f03f93e54b174525b09bcb,citation
0096736824c6ba479dc6c25f3f905585c981fddb,2034ae0a15b1e969cbc9df7281ab15160c36daf3,citation
0096736824c6ba479dc6c25f3f905585c981fddb,7072ef929fa3d7c3177ca868309523c588a67bd1,citation
0096736824c6ba479dc6c25f3f905585c981fddb,b18ddb0b6b7518526bce6450cea66af5fde4d37e,citation
0096736824c6ba479dc6c25f3f905585c981fddb,41af20da2f8ce2fbb0b5d8a5369d785c4b4210a0,citation
0096736824c6ba479dc6c25f3f905585c981fddb,4eed3a5007ca2e6c43035c35eda2adb9a3dce905,citation
0096736824c6ba479dc6c25f3f905585c981fddb,cd15aee36d88704e7c923bd123bbc35788a98095,citation
0096736824c6ba479dc6c25f3f905585c981fddb,00b2093649f07eb851ced0a27a7bc73877971078,citation
0096736824c6ba479dc6c25f3f905585c981fddb,0b0d195c2524538c1338a823a2765af478c113ca,citation
0096736824c6ba479dc6c25f3f905585c981fddb,66cedab15c294a206785ffc8e797dca66813c906,citation
0096736824c6ba479dc6c25f3f905585c981fddb,62bc6f7ece176b92e883599b68be9021028916d4,citation
0096736824c6ba479dc6c25f3f905585c981fddb,60d234e7c7d6b97e4575b51e553232412b96ef22,citation
0096736824c6ba479dc6c25f3f905585c981fddb,3ffbd90681c54305b528dbb638d9873ac21f479e,citation
0096736824c6ba479dc6c25f3f905585c981fddb,14dc3948b89e525f0d1ab46579dd8ae9db5ddbc5,citation
0096736824c6ba479dc6c25f3f905585c981fddb,eb9e69f2227d879b7352c711fc5e99aa911d001b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,668b1277fbece28c4841eeab1c97e4ebd0079700,citation
0096736824c6ba479dc6c25f3f905585c981fddb,ac7ec2c8b994ab2eb9f8e46d88878088f746c2a7,citation
0096736824c6ba479dc6c25f3f905585c981fddb,5725fb8075ba1379e0839b42ddccabffba20e96b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,5494bebc17dbf5cb07be905c76d8c89e9c1b363a,citation
0096736824c6ba479dc6c25f3f905585c981fddb,09c2b79db7b7132ecd0798c1d85d7f54e99640b1,citation
0096736824c6ba479dc6c25f3f905585c981fddb,055411f28a5e28c46c3f0079d397783afc721021,citation
0096736824c6ba479dc6c25f3f905585c981fddb,5753478708d15d121699e16b9b441b2adb78e827,citation
0096736824c6ba479dc6c25f3f905585c981fddb,3f06754e842533ebedc1c37e3ce0cf56318cb8e1,citation
0096736824c6ba479dc6c25f3f905585c981fddb,b8d47b0c0b12dd77543e82e6bf6636ddd335cfea,citation
0096736824c6ba479dc6c25f3f905585c981fddb,,citation
0096736824c6ba479dc6c25f3f905585c981fddb,4a6b83023e540d7041ace50acd461003cc78615e,citation
0096736824c6ba479dc6c25f3f905585c981fddb,8b9987663e58e844af1a65a8fa1c5380485a0692,citation
0096736824c6ba479dc6c25f3f905585c981fddb,329705a255360c8f86a10d909a92794ed8a0857a,citation
0096736824c6ba479dc6c25f3f905585c981fddb,03d61a33796234b8bae5ac38de9b26c1c5ed9e2f,citation
0096736824c6ba479dc6c25f3f905585c981fddb,1efc36b80e875d5fda838b895fde99e869442999,citation
0096736824c6ba479dc6c25f3f905585c981fddb,98344da946652d765346a9666afab29d34dff233,citation
0096736824c6ba479dc6c25f3f905585c981fddb,6dcc70696283fecd38f76e6c2fe6a0a39094af55,citation
0096736824c6ba479dc6c25f3f905585c981fddb,2056ed2e3bb3c9bd83d01647b4e6e61db1ce0fad,citation
