author_a,author_b,shared_works,weight
person:albert cardona,person:r fetter,15,15
person:bryan william jones,person:r marc,15,15
person:shin ya takemura,person:w katz,15,15
person:cm schneider mizell,person:s popovych,15,15
person:cm schneider mizell,person:w silversmith,15,15
person:cm schneider mizell,person:jingpeng wu,15,15
person:cm schneider mizell,person:szi chieh yu,15,15
person:f collman,person:l elabbady,15,15
person:d brittain,person:s popovych,15,15
person:d brittain,person:w silversmith,15,15
person:d brittain,person:jingpeng wu,15,15
person:d brittain,person:szi chieh yu,15,15
person:d bumbarger,person:j buchanan,15,15
person:d bumbarger,person:marc takeno,15,15
person:d bumbarger,person:r torres,15,15
person:d bumbarger,person:r clay reid,15,15
person:j bae,person:jingpeng wu,15,15
person:m castro,person:s popovych,15,15
person:sven dorkenwald,person:w silversmith,15,15
person:jingpeng wu,person:sven dorkenwald,15,15
person:n kemnitz,person:zhi ming jia,15,15
person:t macrina,person:zhi ming jia,15,15
person:eric mitchell,person:zhi ming jia,15,15
person:shang mu,person:zhi ming jia,15,15
person:barak nehoran,person:zhi ming jia,15,15
person:s popovych,person:zhi ming jia,15,15
person:szi chieh yu,person:zhi ming jia,15,15
person:c jordan,person:s popovych,15,15
person:eric mitchell,person:n kemnitz,15,15
person:n kemnitz,person:shang mu,15,15
person:barak nehoran,person:n kemnitz,15,15
person:eric mitchell,person:t macrina,15,15
person:shang mu,person:t macrina,15,15
person:barak nehoran,person:t macrina,15,15
person:t macrina,person:w silversmith,15,15
person:eric mitchell,person:shang mu,15,15
person:barak nehoran,person:eric mitchell,15,15
person:eric mitchell,person:s popovych,15,15
person:eric mitchell,person:szi chieh yu,15,15
person:barak nehoran,person:shang mu,15,15
person:s popovych,person:shang mu,15,15
person:shang mu,person:szi chieh yu,15,15
person:barak nehoran,person:s popovych,15,15
person:barak nehoran,person:szi chieh yu,15,15
person:s popovych,person:w silversmith,15,15
person:jingpeng wu,person:s popovych,15,15
person:jingpeng wu,person:szi chieh yu,15,15
person:f collman,person:jingpeng wu,15,15
person:chuanyun xu,person:zhiyuan lu,15,15
person:gary huang,person:shin ya takemura,15,15
person:s berg,person:shin ya takemura,15,15
person:christopher ordish,person:shin ya takemura,15,15
person:k eichler,person:philipp schlegel,15,15
person:arie matsliah,person:sven dorkenwald,14,14
person:a sterling,person:sven dorkenwald,14,14
person:a sterling,person:g jefferis,14,14
person:a sterling,person:m murthy,14,14
person:f collman,person:j bae,14,14
person:d berger,person:j lichtman,14,14
person:hanspeter pfister,person:johanna beyer,14,14
person:james anderson,person:r marc,14,14
person:aljoscha nern,person:g rubin,14,14
person:i meinertzhagen,person:zhiyuan lu,14,14
person:cm schneider mizell,person:l elabbady,14,14
person:a bodor,person:cm schneider mizell,14,14
person:cm schneider mizell,person:zhi ming jia,14,14
person:cm schneider mizell,person:eric mitchell,14,14
person:cm schneider mizell,person:shang mu,14,14
person:barak nehoran,person:cm schneider mizell,14,14
person:cm schneider mizell,person:n da costa,14,14
person:d brittain,person:l elabbady,14,14
person:l elabbady,person:sven dorkenwald,14,14
person:akhilesh halageri,person:l elabbady,14,14
person:c jordan,person:l elabbady,14,14
person:l elabbady,person:n kemnitz,14,14
person:kea joo lee,person:l elabbady,14,14
person:l elabbady,person:rongwen lu,14,14
person:l elabbady,person:t macrina,14,14
person:a bodor,person:j buchanan,14,14
person:a bodor,person:d bumbarger,14,14
person:a bodor,person:n da costa,14,14
person:d brittain,person:d bumbarger,14,14
person:d brittain,person:r torres,14,14
person:d brittain,person:zhi ming jia,14,14
person:d brittain,person:eric mitchell,14,14
person:d brittain,person:shang mu,14,14
person:barak nehoran,person:d brittain,14,14
person:g mahalingam,person:j buchanan,14,14
person:j buchanan,person:marc takeno,14,14
person:j buchanan,person:r torres,14,14
person:d bumbarger,person:g mahalingam,14,14
person:d bumbarger,person:wenjie yin,14,14
person:d bumbarger,person:n da costa,14,14
person:g mahalingam,person:r torres,14,14
person:marc takeno,person:r torres,14,14
person:marc takeno,person:n da costa,14,14
person:r torres,person:wenjie yin,14,14
person:r clay reid,person:r torres,14,14
person:j bae,person:zhi ming jia,14,14
person:eric mitchell,person:j bae,14,14
person:j bae,person:shang mu,14,14
person:barak nehoran,person:j bae,14,14
person:j bae,person:w silversmith,14,14
person:m castro,person:zhi ming jia,14,14
person:eric mitchell,person:m castro,14,14
person:m castro,person:shang mu,14,14
person:barak nehoran,person:m castro,14,14
person:m castro,person:w silversmith,14,14
person:jingpeng wu,person:m castro,14,14
person:m castro,person:szi chieh yu,14,14
person:sven dorkenwald,person:zhi ming jia,14,14
person:eric mitchell,person:sven dorkenwald,14,14
person:shang mu,person:sven dorkenwald,14,14
person:barak nehoran,person:sven dorkenwald,14,14
person:akhilesh halageri,person:zhi ming jia,14,14
person:akhilesh halageri,person:eric mitchell,14,14
person:akhilesh halageri,person:shang mu,14,14
person:akhilesh halageri,person:barak nehoran,14,14
person:akhilesh halageri,person:w silversmith,14,14
person:akhilesh halageri,person:jingpeng wu,14,14
person:c jordan,person:zhi ming jia,14,14
person:kea joo lee,person:zhi ming jia,14,14
person:rongwen lu,person:zhi ming jia,14,14
person:w silversmith,person:zhi ming jia,14,14
person:jingpeng wu,person:zhi ming jia,14,14
person:h sebastian seung,person:zhi ming jia,14,14
person:f collman,person:zhi ming jia,14,14
person:c jordan,person:eric mitchell,14,14
person:c jordan,person:shang mu,14,14
person:barak nehoran,person:c jordan,14,14
person:c jordan,person:n turner,14,14
person:n kemnitz,person:n turner,14,14
person:eric mitchell,person:kea joo lee,14,14
person:kea joo lee,person:shang mu,14,14
person:barak nehoran,person:kea joo lee,14,14
person:eric mitchell,person:rongwen lu,14,14
person:rongwen lu,person:shang mu,14,14
person:barak nehoran,person:rongwen lu,14,14
person:n turner,person:rongwen lu,14,14
person:eric mitchell,person:w silversmith,14,14
person:eric mitchell,person:jingpeng wu,14,14
person:eric mitchell,person:h sebastian seung,14,14
person:eric mitchell,person:f collman,14,14
person:shang mu,person:w silversmith,14,14
person:jingpeng wu,person:shang mu,14,14
person:h sebastian seung,person:shang mu,14,14
person:f collman,person:shang mu,14,14
person:barak nehoran,person:w silversmith,14,14
person:barak nehoran,person:jingpeng wu,14,14
person:barak nehoran,person:h sebastian seung,14,14
person:barak nehoran,person:f collman,14,14
person:n turner,person:w silversmith,14,14
person:r schalek,person:y meirovitch,14,14
person:fu ning li,person:philipp schlegel,14,14
person:j lichtman,person:viren jain,14,14
person:arie matsliah,person:g jefferis,13,13
person:arie matsliah,person:k eichler,13,13
person:a sterling,person:k eichler,13,13
person:dodam ih,person:kea joo lee,13,13
person:g jefferis,person:sven dorkenwald,13,13
person:k eichler,person:sven dorkenwald,13,13
person:g jefferis,person:m murthy,13,13
person:k eichler,person:m murthy,13,13
person:aljoscha nern,person:shin ya takemura,13,13
person:shin ya takemura,person:tengda zhao,13,13
person:p rivlin,person:stephen plaza,13,13
person:cm schneider mizell,person:j buchanan,13,13
person:cm schneider mizell,person:d bumbarger,13,13
person:cm schneider mizell,person:g mahalingam,13,13
person:cm schneider mizell,person:r torres,13,13
person:cm schneider mizell,person:j bae,13,13
person:l elabbady,person:m castro,13,13
person:h sebastian seung,person:l elabbady,13,13
person:a bodor,person:d brittain,13,13
person:a bodor,person:g mahalingam,13,13
person:a bodor,person:marc takeno,13,13
person:a bodor,person:r torres,13,13
person:a bodor,person:sven dorkenwald,13,13
person:a bodor,person:r clay reid,13,13
person:a bodor,person:f collman,13,13
person:d brittain,person:j buchanan,13,13
person:d brittain,person:g mahalingam,13,13
person:d brittain,person:marc takeno,13,13
person:d brittain,person:wenjie yin,13,13
person:d brittain,person:j bae,13,13
person:d brittain,person:r clay reid,13,13
person:d brittain,person:n da costa,13,13
person:j buchanan,person:wenjie yin,13,13
person:j buchanan,person:r clay reid,13,13
person:f collman,person:j buchanan,13,13
person:j buchanan,person:n da costa,13,13
person:d bumbarger,person:d kapner,13,13
person:d bumbarger,person:f collman,13,13
person:d kapner,person:r torres,13,13
person:d kapner,person:wenjie yin,13,13
person:g mahalingam,person:marc takeno,13,13
person:g mahalingam,person:wenjie yin,13,13
person:f collman,person:g mahalingam,13,13
person:marc takeno,person:wenjie yin,13,13
person:marc takeno,person:r clay reid,13,13
person:f collman,person:r torres,13,13
person:n da costa,person:r torres,13,13
person:j bae,person:m castro,13,13
person:c jordan,person:j bae,13,13
person:n da costa,person:sven dorkenwald,13,13
person:n turner,person:t macrina,13,13
person:h sebastian seung,person:r clay reid,13,13
person:n da costa,person:r clay reid,13,13
person:f collman,person:n da costa,13,13
person:chuanyun xu,person:shin ya takemura,13,13
person:l umayam,person:shin ya takemura,13,13
person:philipp schlegel,person:shin ya takemura,13,13
person:shin ya takemura,person:shirley lauchie,13,13
person:peter li,person:viren jain,13,13
person:g jefferis,person:shin ya takemura,13,13
person:hongqing han,person:xiaoyin chen,13,13
person:claire mckellar,person:sven dorkenwald,13,13
person:a sterling,person:philipp schlegel,13,13
person:claire mckellar,person:m murthy,13,13
person:a bates,person:arie matsliah,12,12
person:a bates,person:a sterling,12,12
person:a bates,person:k eichler,12,12
person:a bates,person:m murthy,12,12
person:a sterling,person:h sebastian seung,12,12
person:dodam ih,person:n kemnitz,12,12
person:albert cardona,person:jim truman,12,12
person:bryan william jones,person:c sigulinsky,12,12
person:d olbris,person:shin ya takemura,12,12
person:stephen plaza,person:zhiyuan lu,12,12
person:louis scheffer,person:zhiyuan lu,12,12
person:cm schneider mizell,person:marc takeno,12,12
person:cm schneider mizell,person:wenjie yin,12,12
person:cm schneider mizell,person:n turner,12,12
person:cm schneider mizell,person:w wong,12,12
person:cm schneider mizell,person:r clay reid,12,12
person:a bodor,person:wenjie yin,12,12
person:a bodor,person:c jordan,12,12
person:a bodor,person:n kemnitz,12,12
person:a bodor,person:kea joo lee,12,12
person:a bodor,person:rongwen lu,12,12
person:a bodor,person:t macrina,12,12
person:a bodor,person:s popovych,12,12
person:a bodor,person:w silversmith,12,12
person:a bodor,person:n turner,12,12
person:a bodor,person:w wong,12,12
person:a bodor,person:jingpeng wu,12,12
person:a bodor,person:h sebastian seung,12,12
person:d brittain,person:d kapner,12,12
person:d brittain,person:n turner,12,12
person:d brittain,person:w wong,12,12
person:d kapner,person:j buchanan,12,12
person:j buchanan,person:s kinn,12,12
person:j buchanan,person:sven dorkenwald,12,12
person:c jordan,person:j buchanan,12,12
person:j buchanan,person:n kemnitz,12,12
person:j buchanan,person:kea joo lee,12,12
person:j buchanan,person:rongwen lu,12,12
person:j buchanan,person:t macrina,12,12
person:j buchanan,person:s popovych,12,12
person:j buchanan,person:w silversmith,12,12
person:j buchanan,person:n turner,12,12
person:j buchanan,person:w wong,12,12
person:j buchanan,person:jingpeng wu,12,12
person:h sebastian seung,person:j buchanan,12,12
person:d bumbarger,person:s kinn,12,12
person:d bumbarger,person:sven dorkenwald,12,12
person:c jordan,person:d bumbarger,12,12
person:d bumbarger,person:n kemnitz,12,12
person:d bumbarger,person:kea joo lee,12,12
person:d bumbarger,person:rongwen lu,12,12
person:d bumbarger,person:t macrina,12,12
person:d bumbarger,person:s popovych,12,12
person:d bumbarger,person:w silversmith,12,12
person:d bumbarger,person:n turner,12,12
person:d bumbarger,person:w wong,12,12
person:d bumbarger,person:jingpeng wu,12,12
person:d bumbarger,person:h sebastian seung,12,12
person:d kapner,person:s kinn,12,12
person:d kapner,person:g mahalingam,12,12
person:d kapner,person:marc takeno,12,12
person:d kapner,person:r clay reid,12,12
person:d kapner,person:f collman,12,12
person:g mahalingam,person:s kinn,12,12
person:r torres,person:s kinn,12,12
person:s kinn,person:wenjie yin,12,12
person:f collman,person:s kinn,12,12
person:g mahalingam,person:sven dorkenwald,12,12
person:c jordan,person:g mahalingam,12,12
person:g mahalingam,person:n kemnitz,12,12
person:g mahalingam,person:kea joo lee,12,12
person:g mahalingam,person:rongwen lu,12,12
person:g mahalingam,person:t macrina,12,12
person:g mahalingam,person:s popovych,12,12
person:g mahalingam,person:w silversmith,12,12
person:g mahalingam,person:n turner,12,12
person:g mahalingam,person:w wong,12,12
person:g mahalingam,person:jingpeng wu,12,12
person:g mahalingam,person:h sebastian seung,12,12
person:g mahalingam,person:r clay reid,12,12
person:g mahalingam,person:n da costa,12,12
person:f collman,person:marc takeno,12,12
person:r torres,person:sven dorkenwald,12,12
person:c jordan,person:r torres,12,12
person:n kemnitz,person:r torres,12,12
person:kea joo lee,person:r torres,12,12
person:r torres,person:rongwen lu,12,12
person:r torres,person:t macrina,12,12
person:r torres,person:s popovych,12,12
person:r torres,person:w silversmith,12,12
person:n turner,person:r torres,12,12
person:r torres,person:w wong,12,12
person:jingpeng wu,person:r torres,12,12
person:h sebastian seung,person:r torres,12,12
person:r clay reid,person:wenjie yin,12,12
person:f collman,person:wenjie yin,12,12
person:n da costa,person:wenjie yin,12,12
person:n turner,person:sven dorkenwald,12,12
person:sven dorkenwald,person:w wong,12,12
person:r clay reid,person:sven dorkenwald,12,12
person:kai li,person:zhi ming jia,12,12
person:c jordan,person:w wong,12,12
person:c jordan,person:r clay reid,12,12
person:kai li,person:n kemnitz,12,12
person:n kemnitz,person:w wong,12,12
person:n kemnitz,person:r clay reid,12,12
person:kea joo lee,person:w wong,12,12
person:kea joo lee,person:r clay reid,12,12
person:kai li,person:t macrina,12,12
person:eric mitchell,person:kai li,12,12
person:kai li,person:shang mu,12,12
person:barak nehoran,person:kai li,12,12
person:kai li,person:s popovych,12,12
person:rongwen lu,person:w wong,12,12
person:r clay reid,person:rongwen lu,12,12
person:t macrina,person:w wong,12,12
person:r clay reid,person:t macrina,12,12
person:n turner,person:s popovych,12,12
person:s popovych,person:w wong,12,12
person:r clay reid,person:s popovych,12,12
person:w silversmith,person:w wong,12,12
person:r clay reid,person:w silversmith,12,12
person:n turner,person:w wong,12,12
person:n turner,person:r clay reid,12,12
person:f collman,person:n turner,12,12
person:jingpeng wu,person:w wong,12,12
person:h sebastian seung,person:w wong,12,12
person:r clay reid,person:w wong,12,12
person:f collman,person:w wong,12,12
person:jingpeng wu,person:r clay reid,12,12
person:f collman,person:r clay reid,12,12
person:micha januszewski,person:shin ya takemura,12,12
person:kenneth hayworth,person:zhiyuan lu,12,12
person:shin ya takemura,person:tansy yang,12,12
person:harald hess,person:shin ya takemura,12,12
person:harald hess,person:kenneth hayworth,12,12
person:s berg,person:stephen plaza,12,12
person:e marin,person:marta costa,12,12
person:e marin,person:g jefferis,12,12
person:philipp schlegel,person:sven dorkenwald,12,12
person:marta costa,person:sven dorkenwald,12,12
person:arie matsliah,person:philipp schlegel,12,12
person:arie matsliah,person:claire mckellar,12,12
person:arie matsliah,person:marta costa,12,12
person:claire mckellar,person:philipp schlegel,12,12
person:m murthy,person:philipp schlegel,12,12
person:a sterling,person:claire mckellar,12,12
person:claire mckellar,person:marta costa,12,12
person:claire mckellar,person:k eichler,12,12
person:claire mckellar,person:g jefferis,12,12
person:a sterling,person:marta costa,12,12
person:m murthy,person:marta costa,12,12
person:j lichtman,person:narayan kasthuri,12,12
person:y meirovitch,person:yunming wu,12,12
person:j lichtman,person:zhi hang lin,12,12
person:a bates,person:sven dorkenwald,11,11
person:jan funke,person:szi chieh yu,11,11
person:dodam ih,person:rongwen lu,11,11
person:dodam ih,person:t macrina,11,11
person:dodam ih,person:h sebastian seung,11,11
person:g jefferis,person:tomke sturner,11,11
person:johanna beyer,person:markus hadwiger,11,11
person:hanspeter pfister,person:markus hadwiger,11,11
person:aiqun li,person:hui gong,11,11
person:omotara ogundeyi,person:shin ya takemura,11,11
person:i meinertzhagen,person:shin ya takemura,11,11
person:stephen plaza,person:w katz,11,11
person:i meinertzhagen,person:louis scheffer,11,11
person:jordan matelsky,person:william gray roncal,11,11
person:brock andrew wester,person:william gray roncal,11,11
person:cm schneider mizell,person:d kapner,11,11
person:cm schneider mizell,person:s kinn,11,11
person:cm schneider mizell,person:kai li,11,11
person:cm schneider mizell,person:s mondal,11,11
person:a bodor,person:l elabbady,11,11
person:j buchanan,person:l elabbady,11,11
person:d bumbarger,person:l elabbady,11,11
person:d kapner,person:l elabbady,11,11
person:l elabbady,person:s kinn,11,11
person:g mahalingam,person:l elabbady,11,11
person:l elabbady,person:r torres,11,11
person:l elabbady,person:wenjie yin,11,11
person:l elabbady,person:zhi ming jia,11,11
person:kai li,person:l elabbady,11,11
person:eric mitchell,person:l elabbady,11,11
person:l elabbady,person:s mondal,11,11
person:l elabbady,person:shang mu,11,11
person:barak nehoran,person:l elabbady,11,11
person:l elabbady,person:s popovych,11,11
person:l elabbady,person:w silversmith,11,11
person:l elabbady,person:n turner,11,11
person:l elabbady,person:w wong,11,11
person:jingpeng wu,person:l elabbady,11,11
person:l elabbady,person:r clay reid,11,11
person:a bodor,person:d kapner,11,11
person:a bodor,person:s kinn,11,11
person:a bodor,person:m castro,11,11
person:a bodor,person:akhilesh halageri,11,11
person:a bodor,person:zhi ming jia,11,11
person:a bodor,person:kai li,11,11
person:a bodor,person:eric mitchell,11,11
person:a bodor,person:s mondal,11,11
person:a bodor,person:shang mu,11,11
person:a bodor,person:barak nehoran,11,11
person:d brittain,person:s kinn,11,11
person:d brittain,person:kai li,11,11
person:d brittain,person:s mondal,11,11
person:j buchanan,person:m castro,11,11
person:akhilesh halageri,person:j buchanan,11,11
person:j buchanan,person:zhi ming jia,11,11
person:j buchanan,person:kai li,11,11
person:eric mitchell,person:j buchanan,11,11
person:j buchanan,person:s mondal,11,11
person:j buchanan,person:shang mu,11,11
person:barak nehoran,person:j buchanan,11,11
person:d bumbarger,person:m castro,11,11
person:akhilesh halageri,person:d bumbarger,11,11
person:d bumbarger,person:zhi ming jia,11,11
person:d bumbarger,person:kai li,11,11
person:d bumbarger,person:eric mitchell,11,11
person:d bumbarger,person:s mondal,11,11
person:d bumbarger,person:shang mu,11,11
person:barak nehoran,person:d bumbarger,11,11
person:d kapner,person:sven dorkenwald,11,11
person:akhilesh halageri,person:d kapner,11,11
person:d kapner,person:zhi ming jia,11,11
person:c jordan,person:d kapner,11,11
person:d kapner,person:n kemnitz,11,11
person:d kapner,person:kea joo lee,11,11
person:d kapner,person:kai li,11,11
person:d kapner,person:rongwen lu,11,11
person:d kapner,person:t macrina,11,11
person:d kapner,person:eric mitchell,11,11
person:d kapner,person:s mondal,11,11
person:d kapner,person:shang mu,11,11
person:barak nehoran,person:d kapner,11,11
person:d kapner,person:s popovych,11,11
person:d kapner,person:w silversmith,11,11
person:d kapner,person:n turner,11,11
person:d kapner,person:w wong,11,11
person:d kapner,person:jingpeng wu,11,11
