author_norm,person_id,display_name,works_in_corpus,weighted_degree,betweenness,community_id
person:j lichtman,person:j lichtman,J. Lichtman,76,803.0,0.000688,1
person:hanspeter pfister,person:hanspeter pfister,Hanspeter Pfister,55,634.0,0.004097,1
person:h sebastian seung,person:h sebastian seung,H. Sebastian Seung,44,1412.0,0.003495,3
person:g jefferis,person:g jefferis,G. Jefferis,43,1467.0,0.000474,3
person:kea joo lee,person:kea joo lee,Kea-Joo Lee,42,1459.0,0.00641,3
person:albert cardona,person:albert cardona,Albert Cardona,39,348.0,8.2e-05,2
person:sven dorkenwald,person:sven dorkenwald,Sven Dorkenwald,38,1510.0,0.000937,3
person:philipp schlegel,person:philipp schlegel,Philipp Schlegel,34,1283.0,1.4e-05,3
person:szi chieh yu,person:szi chieh yu,Szi-chieh Yu,33,1943.0,2.7e-05,3
person:jingpeng wu,person:jingpeng wu,Jingpeng Wu,31,1142.0,0.00524,3
person:stephen plaza,person:stephen plaza,Stephen M. Plaza,31,679.0,5.3e-05,1
person:rongwen lu,person:rongwen lu,Rongwen Lu,30,1289.0,0.001865,3
person:marta costa,person:marta costa,Marta Costa,30,1094.0,0.002247,3
person:shin ya takemura,person:shin ya takemura,Shin-ya Takemura,29,1317.0,0.000128,1
person:chuanyun xu,person:chuanyun xu,Chuanyun Xu,29,848.0,0.00967,1
person:donglai wei,person:donglai wei,Donglai Wei,29,426.0,0.000279,1
person:xiao jing wang,person:xiao jing wang,Xiao-jing Wang,29,326.0,0.000124,1
person:xiaoyin chen,person:xiaoyin chen,Xiaoyin Chen,29,280.0,0.0,0
person:f collman,person:f collman,F. Collman,28,1274.0,0.004435,3
person:louis scheffer,person:louis scheffer,Louis K. Scheffer,28,683.0,1.1e-05,1
person:viren jain,person:viren jain,Viren Jain,28,674.0,0.000898,1
person:r schalek,person:r schalek,R. Schalek,28,469.0,0.000269,1
person:yonggang wang,person:yonggang wang,Yonggang Wang,28,427.0,4.3e-05,0
person:cm schneider mizell,person:cm schneider mizell,CM Schneider-Mizell,27,1151.0,0.001919,3
person:r clay reid,person:r clay reid,R. Clay Reid,27,744.0,0.000432,3
person:y meirovitch,person:y meirovitch,Y. Meirovitch,27,297.0,0.0,1
person:j vogelstein,person:j vogelstein,J. Vogelstein,27,184.0,0.0,2
person:a bates,person:a bates,A. S. Bates,26,1333.0,0.000351,3
person:k eichler,person:k eichler,K. Eichler,26,1045.0,0.003954,3
person:micha januszewski,person:micha januszewski,Michał Januszewski,26,762.0,0.00017,1
person:yunming wu,person:yunming wu,Yunming Wu,26,404.0,0.000166,1
person:n kemnitz,person:n kemnitz,N. Kemnitz,25,1263.0,0.000656,3
person:t macrina,person:t macrina,T. Macrina,25,1234.0,0.000663,3
person:g rubin,person:g rubin,G. Rubin,24,816.0,0.000236,1
person:aljoscha nern,person:aljoscha nern,Aljoscha Nern,24,494.0,0.001178,1
person:yuanyuan li,person:yuanyuan li,Yuanyuan Li,24,417.0,0.001665,0
person:narayan kasthuri,person:narayan kasthuri,Narayan Kasthuri,24,228.0,0.0,1
person:mark ellisman,person:mark ellisman,Mark Ellisman,24,211.0,0.0,0
person:j bae,person:j bae,J. Bae,23,1062.0,0.00215,3
person:c jordan,person:c jordan,C. Jordan,22,1134.0,0.000529,3
person:jan funke,person:jan funke,Jan Funke,22,878.0,0.003663,3
person:harald hess,person:harald hess,Harald F. Hess,22,646.0,0.00027,1
person:s saalfeld,person:s saalfeld,S. Saalfeld,22,639.0,0.001325,1
person:junkyung kim,person:junkyung kim,Junkyung Kim,22,406.0,0.000513,3
person:brock andrew wester,person:brock andrew wester,Brock Andrew Wester,22,255.0,0.0,2
person:m helmstaedter,person:m helmstaedter,M. Helmstaedter,22,127.0,0.0,6
person:yi shiuan liu,person:yi shiuan liu,Yi-Shiuan Liu,21,282.0,0.0,0
person:jordan matelsky,person:jordan matelsky,Jordan K. Matelsky,21,196.0,0.0,2
person:william gray roncal,person:william gray roncal,William R. Gray-Roncal,21,193.0,0.0,2
person:oliver hobert,person:oliver hobert,Oliver Hobert,21,167.0,0.0,4
person:hongqing han,person:hongqing han,Hongqing Han,21,145.0,0.0,0
person:c priebe,person:c priebe,C. Priebe,21,122.0,0.0,2
person:akhilesh halageri,person:akhilesh halageri,Akhilesh Halageri,20,1162.0,0.000284,3
person:d brittain,person:d brittain,D. Brittain,20,1096.0,0.000537,3
person:w silversmith,person:w silversmith,W. Silversmith,20,1042.0,0.000538,3
person:fu ning li,person:fu ning li,Fu-Ning Li,20,948.0,0.000815,3
person:a sterling,person:a sterling,A. Sterling,20,870.0,0.006391,3
person:zhiyuan lu,person:zhiyuan lu,Zhiyuan Lu,20,748.0,0.000438,1
person:w lee,person:w lee,W. Lee,20,646.0,0.007164,3
person:james anderson,person:james anderson,James R. Anderson,20,181.0,0.0,8
person:yu xian zhang,person:yu xian zhang,Yu-Xian Zhang,20,179.0,0.0,0
person:bryan william jones,person:bryan william jones,Bryan William Jones,20,159.0,0.0,8
person:s popovych,person:s popovych,S. Popovych,19,1113.0,0.000786,3
person:m castro,person:m castro,M. C. Castro,19,1040.0,0.000563,3
person:i meinertzhagen,person:i meinertzhagen,I. Meinertzhagen,19,445.0,0.0,1
person:zhi hang lin,person:zhi hang lin,Zhi-Hang Lin,19,346.0,0.000229,1
person:d chklovskii,person:d chklovskii,D. Chklovskii,19,103.0,0.0,1
person:m murthy,person:m murthy,M. Murthy,18,768.0,0.000499,3
person:arie matsliah,person:arie matsliah,Arie Matsliah,18,746.0,0.000517,3
person:d bumbarger,person:d bumbarger,D. Bumbarger,18,655.0,8.9e-05,3
person:d bock,person:d bock,D. Bock,18,568.0,0.002561,3
person:tengda zhao,person:tengda zhao,Tengda Zhao,18,526.0,0.000598,1
person:marta zlatic,person:marta zlatic,Marta Zlatic,18,272.0,0.0,2
person:r fetter,person:r fetter,R. D. Fetter,18,227.0,0.0,2
person:yuh tarng chen,person:yuh tarng chen,Yuh-tarng Chen,18,189.0,0.0,0
person:s berg,person:s berg,S. Berg,17,675.0,0.000212,1
person:n turner,person:n turner,N. Turner,17,636.0,5.9e-05,3
person:n da costa,person:n da costa,N. D. da Costa,17,599.0,0.000302,3
person:n shavit,person:n shavit,N. Shavit,17,136.0,0.0,1
person:shang mu,person:shang mu,Shang Mu,16,981.0,0.00389,3
person:zhi ming jia,person:zhi ming jia,Zhi-Ming Jia,16,975.0,0.001631,3
person:r torres,person:r torres,R. Torres,16,640.0,8.5e-05,3
person:wenjie yin,person:wenjie yin,Wenjie Yin,16,640.0,0.000434,3
person:j buchanan,person:j buchanan,J. Buchanan,16,620.0,8.5e-05,3
person:marc takeno,person:marc takeno,Marc M. Takeno,16,575.0,1.9e-05,3
person:p rivlin,person:p rivlin,P. Rivlin,16,527.0,0.000137,1
person:hongkui zeng,person:hongkui zeng,Hongkui Zeng,16,356.0,0.0,0
person:john tuthill,person:john tuthill,John C. Tuthill,16,344.0,0.000405,3
person:ashok litwin kumar,person:ashok litwin kumar,Ashok Litwin-Kumar,16,135.0,0.0,2
person:jiazheng liu,person:jiazheng liu,Jiazheng Liu,16,127.0,0.0,0
person:eric mitchell,person:eric mitchell,Eric Mitchell,15,939.0,0.000595,3
person:barak nehoran,person:barak nehoran,Barak Nehoran,15,939.0,0.000595,3
person:l elabbady,person:l elabbady,L. Elabbady,15,645.0,1.6e-05,3
person:a bodor,person:a bodor,A. Bodor,15,608.0,0.000225,3
person:xiao ming li,person:xiao ming li,Xiao-Ming Li,15,300.0,0.0,1
person:d berger,person:d berger,D. Berger,15,202.0,0.0,1
person:r marc,person:r marc,R. E. Marc,15,125.0,0.0,8
person:gaspar jekely,person:gaspar jekely,Gáspár Jékely,15,99.0,0.0,2
person:olaf sporns,person:olaf sporns,Olaf Sporns,15,46.0,0.0,5
person:dodam ih,person:dodam ih,Dodam Ih,14,712.0,0.003942,3
person:claire mckellar,person:claire mckellar,Claire E. McKellar,14,704.0,0.004585,3
person:g mahalingam,person:g mahalingam,G. Mahalingam,14,611.0,8.5e-05,3
person:kai li,person:kai li,Kai Li,14,563.0,4.8e-05,3
person:g card,person:g card,G. Card,14,470.0,0.002068,3
person:jingjing zhang,person:jingjing zhang,Jingjing Zhang,14,234.0,0.0,0
person:aravinthan samuel,person:aravinthan samuel,Aravinthan D. T. Samuel,14,155.0,0.0,1
person:steven cook,person:steven cook,Steven J. Cook,14,129.0,0.0,4
person:johanna beyer,person:johanna beyer,Johanna Beyer,14,101.0,0.0,1
person:d kapner,person:d kapner,D. Kapner,13,580.0,5.6e-05,3
person:gary huang,person:gary huang,Gary B. Huang,13,553.0,1.7e-05,1
person:kenneth hayworth,person:kenneth hayworth,Kenneth Hayworth,13,525.0,1.7e-05,1
person:peter li,person:peter li,Peter H. Li,13,400.0,0.000231,1
person:hanchuan peng,person:hanchuan peng,Hanchuan Peng,13,133.0,0.0,0
person:t tasdizen,person:t tasdizen,T. Tasdizen,13,112.0,0.0,8
person:km harris,person:km harris,KM Harris,13,103.0,0.0,2
person:wr schafer,person:wr schafer,WR Schafer,13,60.0,0.0,4
person:scott emmons,person:scott emmons,Scott W. Emmons,13,40.0,0.0,4
person:a champion,person:a champion,A. Champion,12,677.0,0.006642,3
person:w wong,person:w wong,W. Wong,12,579.0,4.1e-05,3
person:j bogovic,person:j bogovic,J. Bogovic,12,577.0,6e-05,1
person:s kinn,person:s kinn,S. Kinn,12,561.0,5.3e-05,3
person:w katz,person:w katz,W. M. Katz,12,557.0,1.7e-05,1
person:mean hwan kim,person:mean hwan kim,Mean-Hwan Kim,12,528.0,5.3e-05,3
person:a tolias,person:a tolias,A. S. Tolias,12,432.0,2.4e-05,3
person:e marin,person:e marin,E. Marin,12,383.0,0.00225,3
person:yoshinori aso,person:yoshinori aso,Yoshinori Aso,12,239.0,0.0,1
person:jim truman,person:jim truman,Jim Truman,12,215.0,0.0,2
person:hsi ping wang,person:hsi ping wang,Hsi-Ping Wang,12,191.0,0.0,0
person:c sigulinsky,person:c sigulinsky,C. Sigulinsky,12,98.0,0.0,8
person:youngser park,person:youngser park,Youngser Park,12,97.0,0.0,2
person:henry markram,person:henry markram,Henry Markram,12,96.0,0.0,7
person:javier defelipe,person:javier defelipe,Javier DeFelipe,12,74.0,0.0,7
person:markus hadwiger,person:markus hadwiger,Markus Hadwiger,12,72.0,0.0,1
person:tomke sturner,person:tomke sturner,Tomke Stürner,11,1034.0,0.000195,3
person:jay gager,person:jay gager,Jay Gager,11,712.0,0.00596,3
person:aiqun li,person:aiqun li,Aiqun Li,11,631.0,0.00185,0
person:s mondal,person:s mondal,S. Mondal,11,540.0,1.7e-05,3
person:d olbris,person:d olbris,D. J. Olbris,11,501.0,0.000159,1
person:v hartenstein,person:v hartenstein,V. Hartenstein,11,428.0,0.001345,3
person:jinseop kim,person:jinseop kim,Jinseop S. Kim,11,413.0,0.000113,3
person:kazunori shinomiya,person:kazunori shinomiya,Kazunori Shinomiya,11,386.0,0.000133,1
person:hui gong,person:hui gong,Hui Gong,11,339.0,1.2e-05,0
person:qingyang wang,person:qingyang wang,Qingyang Wang,11,313.0,5e-05,0
person:daniel berger,person:daniel berger,Daniel R. Berger,11,251.0,0.0,1
person:aaron kuan,person:aaron kuan,Aaron T. Kuan,11,123.0,0.0,9
person:ed boyden,person:ed boyden,Ed Boyden,11,122.0,0.0,1
person:jia hui yang,person:jia hui yang,Jia-Hui Yang,11,115.0,0.0,8
person:michael reimann,person:michael reimann,Michael W. Reimann,11,102.0,0.0,7
person:zengmao wang,person:zengmao wang,Zengmao Wang,11,93.0,0.0,0
person:isabel beets,person:isabel beets,Isabel Beets,11,83.0,0.0,4
person:d hall,person:d hall,D. Hall,11,76.0,0.0,4
person:ann shyn chiang,person:ann shyn chiang,Ann-Shyn Chiang,11,67.0,0.0,8
person:r friedrich,person:r friedrich,R. Friedrich,11,30.0,0.0,6
person:marina gkantia,person:marina gkantia,Marina Gkantia,10,648.0,0.006334,3
person:l umayam,person:l umayam,L. Umayam,10,546.0,1.7e-05,1
person:jody clements,person:jody clements,Jody Clements,10,531.0,2.1e-05,1
person:m dreher,person:m dreher,M. Dreher,10,490.0,0.000111,1
person:kaiyu wang,person:kaiyu wang,Kaiyu Wang,10,485.0,0.00637,3
person:n eckstein,person:n eckstein,N. Eckstein,10,483.0,0.004253,3
person:stephan gerhard,person:stephan gerhard,Stephan Gerhard,10,482.0,0.000439,3
person:qingming luo,person:qingming luo,Qingming Luo,10,311.0,0.0,0
person:shuohong wang,person:shuohong wang,Shuohong Wang,10,259.0,0.0,1
person:andrew cook,person:andrew cook,Andrew P. Cook,10,216.0,0.0,3
person:changjoon park,person:changjoon park,Changjoon Park,10,144.0,0.0,0
person:junyang wang,person:junyang wang,Junyang Wang,10,137.0,0.0,0
person:eric bushong,person:eric bushong,Eric Bushong,10,112.0,0.0,0
person:zhenghua li,person:zhenghua li,Zhenghua Li,10,110.0,0.0,0
person:t parag,person:t parag,T. Parag,10,109.0,0.0,1
person:erik johnson,person:erik johnson,Erik C. Johnson,10,98.0,0.0,2
person:zhiwei xiong,person:zhiwei xiong,Zhiwei Xiong,10,95.0,0.0,0
person:haoran chen,person:haoran chen,Haoran Chen,10,86.0,0.0,0
person:b misic,person:b misic,B. Mišić,10,85.0,0.0,5
person:tingshan liu,person:tingshan liu,Tingshan Liu,10,81.0,0.0,0
person:yuan yao lin,person:yuan yao lin,Yuan-Yao Lin,10,80.0,0.0,8
person:srinivas turaga,person:srinivas turaga,Srinivas C. Turaga,10,73.0,0.0,1
person:hesheng liu,person:hesheng liu,Hesheng Liu,10,71.0,0.0,0
person:v lyzinski,person:v lyzinski,V. Lyzinski,10,56.0,0.0,2
person:k briggman,person:k briggman,K. Briggman,10,50.0,0.0,6
person:g ascoli,person:g ascoli,G. Ascoli,10,36.0,0.0,0
person:a wanner,person:a wanner,A. Wanner,10,32.0,0.0,6
person:eli shlizerman,person:eli shlizerman,Eli Shlizerman,10,16.0,0.0,0
person:tansy yang,person:tansy yang,Tansy Yang,9,840.0,0.000137,1
person:christopher ordish,person:christopher ordish,Christopher Ordish,9,615.0,0.000241,1
person:b silverman,person:b silverman,B. Silverman,9,600.0,0.006593,3
person:eric perlman,person:eric perlman,Eric Perlman,9,565.0,0.003823,3
person:yijie yin,person:yijie yin,Yijie Yin,9,556.0,0.012834,3
person:michael reiser,person:michael reiser,Michael B. Reiser,9,524.0,0.008342,3
person:j reimer,person:j reimer,J. Reimer,9,410.0,2.4e-05,3
person:ruchi parekh,person:ruchi parekh,Ruchi Parekh,9,379.0,1.5e-05,3
person:cun quan zhang,person:cun quan zhang,Cun-Quan Zhang,9,343.0,0.002512,3
person:hong wei dong,person:hong wei dong,Hong-Wei Dong,9,248.0,0.0,0
person:stefan mihalas,person:stefan mihalas,Stefan Mihalas,9,215.0,0.0,0
person:yangang sun,person:yangang sun,Yangang Sun,9,199.0,0.0,0
person:j troidl,person:j troidl,J. Troidl,9,191.0,0.0,1
person:lingzi zhang,person:lingzi zhang,Lingzi Zhang,9,191.0,0.0,0
person:chih cheng chen,person:chih cheng chen,Chih-Cheng Chen,9,182.0,0.0,0
person:daniel xenes,person:daniel xenes,Daniel Xenes,9,177.0,0.0,3
person:kechen zhang,person:kechen zhang,Kechen Zhang,9,159.0,0.0,0
person:wenchang li,person:wenchang li,Wenchang Li,9,115.0,0.0,0
person:xiaotang lu,person:xiaotang lu,Xiaotang Lu,9,110.0,0.0,1
person:keun young kim,person:keun young kim,Keun-Young Kim,9,97.0,0.0,0
person:s zipursky,person:s zipursky,S. Zipursky,9,90.0,0.0,4
person:song pang,person:song pang,Song Pang,9,82.0,0.0,1
person:rebecca pfeiffer,person:rebecca pfeiffer,Rebecca L. Pfeiffer,9,82.0,0.0,8
person:xiao yong zhang,person:xiao yong zhang,Xiao-Yong Zhang,9,76.0,0.0,0
person:winfried denk,person:winfried denk,Winfried Denk,9,74.0,0.0,6
person:elizabeth williams,person:elizabeth williams,Elizabeth A. Williams,9,71.0,0.0,2
person:r shahidi,person:r shahidi,R. Shahidi,9,65.0,0.0,2
person:c veraszto,person:c veraszto,C. Verasztó,9,65.0,0.0,2
person:joergen kornfeld,person:joergen kornfeld,Joergen Kornfeld,9,54.0,0.0,6
person:a lazar,person:a lazar,A. Lazar,9,33.0,0.0,0
person:k broadie,person:k broadie,K. Broadie,9,14.0,0.0,57
person:m pleijzier,person:m pleijzier,M. W. Pleijzier,8,816.0,0.000892,3
person:m arcia dos santos,person:m arcia dos santos,M'arcia dos Santos,8,785.0,0.002042,3
person:julie kovalyak,person:julie kovalyak,Julie Kovalyak,8,621.0,0.000265,3
person:griffin badalamente,person:griffin badalamente,Griffin Badalamente,8,573.0,0.006414,3
person:michael cook,person:michael cook,Michael Cook,8,559.0,0.000241,1
person:marissa sorek,person:marissa sorek,Marissa Sorek,8,546.0,0.000466,3
person:ruoxuan yang,person:ruoxuan yang,Ruoxuan Yang,8,484.0,0.007727,3
person:gabriella sterne,person:gabriella sterne,Gabriella R. Sterne,8,475.0,0.005967,3
person:b dickson,person:b dickson,B. Dickson,8,453.0,0.004981,3
person:jongmin lee,person:jongmin lee,Jongmin Lee,8,353.0,0.000213,3
person:h otsuna,person:h otsuna,H. Otsuna,8,352.0,6.4e-05,1
person:fabian sinz,person:fabian sinz,Fabian H. Sinz,8,341.0,3e-06,3
person:alexander borst,person:alexander borst,Alexander Borst,8,314.0,0.00022,3
person:h cheong,person:h cheong,H. S. Cheong,8,300.0,0.0,3
person:s seshamani,person:s seshamani,S. Seshamani,8,297.0,0.0,3
person:jasper phelps,person:jasper phelps,Jasper S. Phelps,8,291.0,0.0,3
person:anthony azevedo,person:anthony azevedo,Anthony W. Azevedo,8,242.0,0.0,3
person:brandon mark,person:brandon mark,Brandon Mark,8,187.0,0.0,3
person:fang ming xu,person:fang ming xu,Fang-ming Xu,8,175.0,0.0,0
person:fangfang wang,person:fangfang wang,Fangfang Wang,8,148.0,0.0,3
person:hong sheng li,person:hong sheng li,Hong-Sheng Li,8,134.0,0.0,1
person:a pacureanu,person:a pacureanu,A. Pacureanu,8,133.0,0.0,3
person:wei chung allen lee,person:wei chung allen lee,Wei-Chung Allen Lee,8,133.0,0.0,3
person:tri nguyen,person:tri nguyen,Tri M. Nguyen,8,126.0,0.0,0
person:l abbott,person:l abbott,L. F. Abbott,8,123.0,0.0,2
person:patricia rivlin,person:patricia rivlin,Patricia K. Rivlin,8,119.0,0.0,2
person:longfei li,person:longfei li,Longfei Li,8,111.0,0.0,0
person:ignacio arganda carreras,person:ignacio arganda carreras,Ignacio Arganda-Carreras,8,110.0,0.0,1
person:nadine randel,person:nadine randel,Nadine Randel,8,97.0,0.0,2
person:b gerber,person:b gerber,B. Gerber,8,95.0,0.0,2
person:fuming yang,person:fuming yang,Fuming Yang,8,92.0,0.0,1
person:mei zhen,person:mei zhen,Mei Zhen,8,82.0,0.0,1
person:r vogelstein,person:r vogelstein,R. J. Vogelstein,8,78.0,0.0,2
person:shengjin xu,person:shengjin xu,Shengjin Xu,8,75.0,0.0,0
person:yongchuan zhu,person:yongchuan zhu,Yongchuan Zhu,8,72.0,0.0,0
person:seung hee lee,person:seung hee lee,Seung-Hee Lee,8,70.0,0.0,5
person:d dacey,person:d dacey,D. Dacey,8,70.0,0.0,8
person:r burns,person:r burns,R. Burns,8,68.0,0.0,2
person:gregg wildenberg,person:gregg wildenberg,Gregg A. Wildenberg,8,60.0,0.0,13
person:ruobing zhang,person:ruobing zhang,Ruobing Zhang,8,59.0,0.0,1
person:p vertes,person:p vertes,P. Vértes,8,54.0,0.0,4
person:qiwei xie,person:qiwei xie,Qiwei Xie,8,51.0,0.0,0
person:k boergens,person:k boergens,K. Boergens,8,50.0,0.0,6
person:linqing feng,person:linqing feng,Linqing Feng,8,42.0,0.0,0
person:minh tang,person:minh tang,Minh Tang,8,41.0,0.0,2
person:won ki jeong,person:won ki jeong,Won-Ki Jeong,8,37.0,0.0,1
person:yishi jin,person:yishi jin,Yishi Jin,8,28.0,0.0,0
person:e bullmore,person:e bullmore,E. Bullmore,8,27.0,0.0,4
person:manuel zimmer,person:manuel zimmer,Manuel Zimmer,8,27.0,0.0,25
person:paul brooks,person:paul brooks,Paul Brooks,7,698.0,0.004878,3
person:ryan willie,person:ryan willie,Ryan Willie,7,574.0,0.006699,3
person:shirley lauchie,person:shirley lauchie,Shirley A Lauchie,7,529.0,1.7e-05,1
person:a javier,person:a javier,A. Javier,7,521.0,0.015549,3
person:tyler paterson,person:tyler paterson,Tyler Paterson,7,511.0,0.000741,1
person:philip hubbard,person:philip hubbard,Philip M. Hubbard,7,497.0,1.7e-05,1
person:s waddell,person:s waddell,S. Waddell,7,483.0,0.011574,3
person:wyatt korff,person:wyatt korff,Wyatt L. Korff,7,457.0,0.002951,1
person:omotara ogundeyi,person:omotara ogundeyi,Omotara Ogundeyi,7,454.0,0.000179,1
person:eric trautman,person:eric trautman,Eric T. Trautman,7,432.0,0.002589,1
person:minggang wang,person:minggang wang,MingGang Wang,7,358.0,0.001001,3
person:erika neace,person:erika neace,Erika Neace,7,355.0,0.000355,1
person:v jayaraman,person:v jayaraman,V. Jayaraman,7,354.0,0.000336,1
person:paul fahey,person:paul fahey,Paul G. Fahey,7,334.0,3e-06,3
person:saumil patel,person:saumil patel,Saumil S. Patel,7,330.0,3e-06,3
person:x pitkow,person:x pitkow,X. Pitkow,7,327.0,3e-06,3
person:jeremy maitin shepard,person:jeremy maitin shepard,Jeremy B. Maitin-Shepard,7,300.0,0.0,1
person:ruairi roberts,person:ruairi roberts,Ruairí J. V. Roberts,7,287.0,0.0,3
person:s sorensen,person:s sorensen,S. Sorensen,7,271.0,0.0,3
person:e froudarakis,person:e froudarakis,E. Froudarakis,7,254.0,0.0,3
person:arthur zhao,person:arthur zhao,Arthur Zhao,7,221.0,0.0,1
person:s namiki,person:s namiki,S. Namiki,7,218.0,0.0,3
person:s agrawal,person:s agrawal,S. Agrawal,7,217.0,0.0,3
person:a peleg,person:a peleg,A. Peleg,7,184.0,0.0,1
person:xiaoming yang,person:xiaoming yang,Xiaoming Yang,7,176.0,0.0,0
person:huei fang yang,person:huei fang yang,Huei-Fang Yang,7,165.0,0.0,3
person:anne sustar,person:anne sustar,Anne Sustar,7,127.0,0.0,3
person:chris dallmann,person:chris dallmann,Chris J. Dallmann,7,126.0,0.0,3
person:hongyang wu,person:hongyang wu,Hongyang Wu,7,96.0,0.0,1
person:claire eschbach,person:claire eschbach,Claire Eschbach,7,93.0,0.0,2
person:tj sejnowski,person:tj sejnowski,TJ Sejnowski,7,91.0,0.0,2
person:ming quan chen,person:ming quan chen,Ming-Quan Chen,7,90.0,0.0,0
person:michael winding,person:michael winding,Michael Winding,7,89.0,0.0,2
person:stephen smith,person:stephen smith,Stephen M. Smith,7,88.0,0.0,2
person:d kleissas,person:d kleissas,D. Kleissas,7,86.0,0.0,2
person:xiaojing ding,person:xiaojing ding,Xiaojing Ding,7,85.0,0.0,0
person:wenjing wang,person:wenjing wang,Wenjing Wang,7,84.0,0.0,0
person:parmis mirshahidi,person:parmis mirshahidi,Parmis S. Mirshahidi,7,81.0,0.0,4
person:j lauritzen,person:j lauritzen,J. S. Lauritzen,7,73.0,0.0,8
person:philipp berens,person:philipp berens,Philipp Berens,7,70.0,0.0,6
person:l bezares calderon,person:l bezares calderon,L. A. Bezares-Calderón,7,69.0,0.0,2
person:c watt,person:c watt,C. Watt,7,66.0,0.0,8
person:li ping liu,person:li ping liu,Li-Ping Liu,7,66.0,0.0,0
person:lijun shen,person:lijun shen,Lijun Shen,7,64.0,0.0,0
person:tianrui zhang,person:tianrui zhang,Tianrui Zhang,7,63.0,0.0,0
person:chung chuang lo,person:chung chuang lo,Chung-Chuang Lo,7,60.0,0.0,0
person:t schubert,person:t schubert,T. Schubert,7,59.0,0.0,6
person:daniel haehn,person:daniel haehn,Daniel Haehn,7,58.0,0.0,1
person:eviatar yemini,person:eviatar yemini,Eviatar Yemini,7,57.0,0.0,4
person:hyeyoung lee,person:hyeyoung lee,Hyeyoung Lee,7,49.0,0.0,6
person:s jasek,person:s jasek,S. Jasek,7,46.0,0.0,2
person:jianwei lu,person:jianwei lu,Jianwei Lu,7,45.0,0.0,1
person:alexei verkhratsky,person:alexei verkhratsky,Alexei Verkhratsky,7,45.0,0.0,21
person:g knott,person:g knott,G. Knott,7,44.0,0.0,7
person:elad schneidman,person:elad schneidman,Elad Schneidman,7,42.0,0.0,4
person:wenjing huang,person:wenjing huang,Wenjing Huang,7,41.0,0.0,0
person:caio seguin,person:caio seguin,Caio Seguin,7,32.0,0.0,5
person:d bassett,person:d bassett,D. Bassett,7,31.0,0.0,2
person:albert laszlo barabasi,person:albert laszlo barabasi,Albert-László Barabási,7,28.0,0.0,4
person:rembrandt bakker,person:rembrandt bakker,Rembrandt Bakker,7,24.0,0.0,6
person:m van den heuvel,person:m van den heuvel,M. P. van den heuvel,7,11.0,0.0,5
person:h duffau,person:h duffau,H. Duffau,7,5.0,0.0,98
person:christopher dunne,person:christopher dunne,Christopher R. Dunne,6,852.0,0.000195,3
person:c ribeiro,person:c ribeiro,C. Ribeiro,6,724.0,0.000341,3
person:audrey francis,person:audrey francis,Audrey Francis,6,651.0,0.000792,3
person:r george,person:r george,R. George,6,563.0,5e-05,1
person:christopher knecht,person:christopher knecht,Christopher Knecht,6,550.0,0.000241,1
person:alanna lohff,person:alanna lohff,Alanna Lohff,6,550.0,0.000241,1
person:ashley scott,person:ashley scott,Ashley L. Scott,6,550.0,0.000241,1
person:james hebditch,person:james hebditch,James Hebditch,6,547.0,0.006695,3
person:k willie,person:k willie,K. Willie,6,547.0,0.007155,3
person:keinosuke ito,person:keinosuke ito,Keinosuke Ito,6,530.0,3e-06,1
person:siqi fang,person:siqi fang,Siqi Fang,6,510.0,0.016322,3
person:doug bland,person:doug bland,Doug Bland,6,509.0,0.000108,3
person:zepeng yao,person:zepeng yao,Zepeng Yao,6,503.0,0.00016,3
person:imaan tamimi,person:imaan tamimi,Imaan F. M. Tamimi,6,471.0,0.015681,3
person:a seeds,person:a seeds,A. Seeds,6,466.0,0.000133,3
person:stefanie hampel,person:stefanie hampel,Stefanie Hampel,6,466.0,0.000133,3
person:sandeep kumar,person:sandeep kumar,Sandeep Kumar,6,461.0,0.000129,3
person:tom kazimiers,person:tom kazimiers,Tom Kazimiers,6,384.0,0.000798,3
person:kristin scott,person:kristin scott,Kristin Scott,6,366.0,0.00012,3
person:tim blakely,person:tim blakely,Tim Blakely,6,365.0,5.2e-05,1
person:zhiqiao liu,person:zhiqiao liu,Zhiqiao Liu,6,349.0,0.004834,3
person:hyoungkyu kim,person:hyoungkyu kim,Hyoungkyu Kim,6,331.0,0.000738,3
person:s papadopoulos,person:s papadopoulos,S. Papadopoulos,6,323.0,3e-06,3
person:billy morris,person:billy morris,Billy J. Morris,6,295.0,0.0,3
person:seong kyun kim,person:seong kyun kim,Seong-Kyun Kim,6,226.0,0.0,1
person:s cachero,person:s cachero,S. Cachero,6,211.0,0.0,3
person:l capdevila,person:l capdevila,L. Capdevila,6,205.0,0.0,3
person:lydia ng,person:lydia ng,Lydia Ng,6,191.0,0.0,0
person:hua tai xu,person:hua tai xu,Hua-tai Xu,6,183.0,0.0,0
person:shenqin yao,person:shenqin yao,Shenqin Yao,6,179.0,0.0,0
person:zhaoxiang zhang,person:zhaoxiang zhang,Zhaoxiang Zhang,6,164.0,0.0,3
person:jung seok choi,person:jung seok choi,Jung-Seok Choi,6,159.0,0.0,1
person:tingting jiang,person:tingting jiang,Tingting Jiang,6,153.0,0.0,0
person:yongxin zhao,person:yongxin zhao,Yongxin Zhao,6,139.0,0.0,3
person:yu chi huang,person:yu chi huang,Yu-Chi Huang,6,135.0,0.0,0
