facet,value,era,time_role,n_working_set,n_global_core,champion_work_id,champion_doi,champion_title,champion_year,champion_in_global_core,in,out,k_core,year_cites_percentile
method,two-photon,2025,sota,2,0,work_a0cdbefe311043d0,10.1016/j.crmeth.2025.101179,"A deep learning pipeline for accurate and automated restoration, segmentation, and quantification of dendritic spines",2025,,1,2,3,73
method,Neuroglancer,2025,sota,2,0,work_d15b5cef0700394c,10.1002/cpz1.70273,Analyzing Large Connectome Graphs With BossDB Network Tools,2025,,1,12,10,36
method,X-ray microscopy,2025,sota,1,0,work_acc50851a93fccf9,10.1101/2025.02.10.633538,Self-supervised image restoration in coherent X-ray neuronal microscopy,2025,,0,3,3,68
method,BossDB ecosystem,2025,sota,2,0,work_d15b5cef0700394c,10.1002/cpz1.70273,Analyzing Large Connectome Graphs With BossDB Network Tools,2025,,1,12,10,36
method,neuPrint,2025,sota,1,0,work_d15b5cef0700394c,10.1002/cpz1.70273,Analyzing Large Connectome Graphs With BossDB Network Tools,2025,,1,12,10,36
method,Multibeam SEM,2025,sota,1,0,work_f89235b38a4cc138,10.3390/cryst16010014,"Volume Electron Microscopy: Imaging Principles, Computational Advances and Applications in Multi-Scale Biological System",2025,,0,6,6,51
method,electron tomography,2025,sota,1,0,work_f89235b38a4cc138,10.3390/cryst16010014,"Volume Electron Microscopy: Imaging Principles, Computational Advances and Applications in Multi-Scale Biological System",2025,,0,6,6,51
method,Flood-filling networks,2025,sota,1,0,work_f89235b38a4cc138,10.3390/cryst16010014,"Volume Electron Microscopy: Imaging Principles, Computational Advances and Applications in Multi-Scale Biological System",2025,,0,6,6,51
axis,pipeline_stage,2026,sota,113,76,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
axis,registry_dataset,2026,sota,9,3,work_954de58c49ad957a,10.64898/2026.02.27.708590,A central somatotopic map of the fly leg supports spatially targeted grooming,2026,yes,0,5,5,94
axis,untagged,2026,sota,10,8,work_4c544b6c1513bcca,10.64898/2026.02.02.700492,Connectome analysis reveals brainwide visual processing in Drosophila,2026,yes,0,20,8,35
axis,health_translation,2026,sota,3,2,work_2528fed4e090c0a8,10.1016/j.cell.2026.01.025,"Brain-wide mapping of oligodendrocyte organization, oligodendrogenesis, and myelin injury",2026,yes,0,4,4,96
axis,biological_application,2026,sota,2,2,work_aba24ab36d2c1f77,10.64898/2025.12.10.689094,Hierarchical Community Structure of the Adult Drosophila Connectome Reveals Conserved Circuit Archetypes,2026,yes,0,14,11,77
stage,synapses,2026,sota,9,6,work_6c78664b0abdcff2,10.64898/2026.02.25.708065,A multi-resolution imaging and analysis pipeline for comparative circuit reconstruction in insects,2026,yes,1,20,13,77
stage,graph_analysis,2026,sota,71,51,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
stage,preparation,2026,sota,20,13,work_7bf4cfb87937a38b,10.64898/2026.07.09.737432,Learning the wiring rules of a mammalian cortical column,2026,yes,0,21,13,35
stage,modeling,2026,sota,28,15,work_77733aed5786f1e1,10.3390/electronics15061181,Isotropic Reconstruction of Anisotropic vEM Volumes with ViT-Guided Diffusion,2026,yes,0,11,10,35
stage,infrastructure,2026,sota,55,39,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
stage,proofreading,2026,sota,27,19,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
stage,segmentation,2026,sota,19,16,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
stage,sectioning,2026,sota,7,5,work_a77b316df3ecbc0e,10.1016/j.crmeth.2026.101429,DRIFT-EM enables direct wafer retrieval of ultrathin serial sections for large-volume electron microscopy,2026,yes,0,16,12,35
stage,acquisition,2026,sota,13,9,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
stage,alignment,2026,sota,12,9,work_bdf6f3371610db4c,10.64898/2026.06.06.730367,ConnectoFM: A Foundation Model for Learning the Language of the Connectome,2026,yes,0,33,13,35
organism,mouse,2026,sota,25,17,work_7bf4cfb87937a38b,10.64898/2026.07.09.737432,Learning the wiring rules of a mammalian cortical column,2026,yes,0,21,13,35
organism,fly,2026,sota,47,33,work_4c544b6c1513bcca,10.64898/2026.02.02.700492,Connectome analysis reveals brainwide visual processing in Drosophila,2026,yes,0,20,8,35
organism,other,2026,sota,5,3,work_f92a699ce1155d96,10.1007/s12311-026-02042-x,The Cerebellar Connectome,2026,yes,0,11,5,35
organism,zebrafish,2026,sota,6,5,work_118a0b13d2e80966,10.48550/arxiv.2606.21116,ConnectomeBench2: A Unified Benchmark for Automated Connectomic Proofreading,2026,yes,0,25,12,35
organism,elegans,2026,sota,21,16,work_42ac0b1d50535d45,10.1186/s12915-026-02641-4,Signed motif analysis of the Caenorhabditis elegans neuronal network reveals positive feedforward and negative feedback loops,2026,yes,0,23,11,35
organism,human,2026,sota,3,3,work_b0fa465ba40b7ebd,10.64898/2026.02.19.706834,A quantitative census of millions of postsynaptic structures in a large electron microscopy volume of mouse visual cortex,2026,yes,0,11,9,77
dataset,DS07 VNC (FANC/MANC),2026,sota,7,6,work_6f9a7974a1b12683,10.1016/j.isci.2026.115624,The Drosophila connectome reveals axo-axonic synapses on descending neurons,2026,yes,0,17,11,35
dataset,DS09/DS10 mouse retina,2026,sota,4,3,work_397f26a63b62d9c9,10.64898/2026.05.28.727403,Eyewire II – A connectomic resource for resolving cell types and circuits of the mouse retina,2026,yes,0,20,9,35
dataset,DS15 zebrafish,2026,sota,8,6,work_118a0b13d2e80966,10.48550/arxiv.2606.21116,ConnectomeBench2: A Unified Benchmark for Automated Connectomic Proofreading,2026,yes,0,25,12,35
dataset,DS13 MICrONS,2026,sota,8,7,work_50997c68f9311844,10.1038/s41593-026-02388-9,Hippocampal CA3 connectomics reveals a gradient of mossy fiber inputs and selective feedforward inhibition onto pyramidal cells.,2026,yes,0,15,11,35
dataset,DS03 Drosophila larva,2026,sota,7,2,work_c041abac1c482213,10.1101/2025.09.26.678851,Beyond Agreement: Standardizing Crowdsourced Synapse Annotations through Proofreading in EM Connectomics,2026,yes,0,18,13,35
dataset,DS01 C. elegans (White+),2026,sota,22,17,work_42ac0b1d50535d45,10.1186/s12915-026-02641-4,Signed motif analysis of the Caenorhabditis elegans neuronal network reveals positive feedforward and negative feedback loops,2026,yes,0,23,11,35
dataset,DS04 FAFB,2026,sota,2,2,work_2aa86c956dc4b3e6,10.7554/elife.108044,A comprehensive mechanosensory connectome reveals a somatotopically organized neural circuit architecture controlling stimulus-aimed grooming of the Drosophila head,2026,yes,0,12,9,35
dataset,DS06 FlyWire,2026,sota,3,2,work_32511d828fc70ade,10.64898/2026.06.30.735468,Connectome-scale self-supervised representation learning reveals neuronal organization beyond canonical labels,2026,yes,0,12,10,35
dataset,DS22 Platynereis,2026,sota,2,1,work_69a73378c605c293,nan,Geometric developmental principles for the emergence of brain-like weighted and directed neuronal networks,2026,yes,0,9,7,35
dataset,DS05 hemibrain,2026,sota,2,2,work_8627e5369ab9b3fe,10.1101/2024.04.21.590464,Connectomic Analysis of Mitochondria in the Central Brain of Drosophila,2026,yes,3,16,12,99
dataset,DS14 H01 human cortex,2026,sota,2,2,work_b0fa465ba40b7ebd,10.64898/2026.02.19.706834,A quantitative census of millions of postsynaptic structures in a large electron microscopy volume of mouse visual cortex,2026,yes,0,11,9,77
method,SBF-SEM,2026,sota,2,1,work_17515b46569c966d,10.1016/j.crmeth.2026.101543,Volumetric denoising enables high-throughput volume electron microscopy and efficient downstream analysis.,2026,yes,0,7,6,35
method,light-sheet,2026,sota,1,1,work_2528fed4e090c0a8,10.1016/j.cell.2026.01.025,"Brain-wide mapping of oligodendrocyte organization, oligodendrogenesis, and myelin injury",2026,yes,0,4,4,96
method,serial-section EM,2026,sota,3,3,work_a77b316df3ecbc0e,10.1016/j.crmeth.2026.101429,DRIFT-EM enables direct wafer retrieval of ultrathin serial sections for large-volume electron microscopy,2026,yes,0,16,12,35
method,FlyWire,2026,sota,3,2,work_32511d828fc70ade,10.64898/2026.06.30.735468,Connectome-scale self-supervised representation learning reveals neuronal organization beyond canonical labels,2026,yes,0,12,10,35
method,EyeWire crowd proofreading,2026,sota,1,1,work_397f26a63b62d9c9,10.64898/2026.05.28.727403,Eyewire II – A connectomic resource for resolving cell types and circuits of the mouse retina,2026,yes,0,20,9,35
method,two-photon,2026,sota,1,1,work_397f26a63b62d9c9,10.64898/2026.05.28.727403,Eyewire II – A connectomic resource for resolving cell types and circuits of the mouse retina,2026,yes,0,20,9,35
method,Connectome-constrained visual-system model,2026,sota,6,2,work_87f5ebaf52106e04,nan,"A frozen rate operator from the complete larval connectome: degree and weight govern the gross response, exact wiring governs input routing and mushroom-body modes",2026,yes,0,11,8,35
method,Network motifs,2026,sota,3,3,work_42ac0b1d50535d45,10.1186/s12915-026-02641-4,Signed motif analysis of the Caenorhabditis elegans neuronal network reveals positive feedforward and negative feedback loops,2026,yes,0,23,11,35
method,U-Net,2026,sota,1,0,work_6b6ad2c0b18afc7e,10.64898/2026.07.13.738355,SparseSeg: Target-Conditioned Discovery Segmentation of Cryo-Volume Electron Microscopy Under Sparse Annotation,2026,,0,2,2,35
method,CATMAID,2026,sota,1,1,work_6c78664b0abdcff2,10.64898/2026.02.25.708065,A multi-resolution imaging and analysis pipeline for comparative circuit reconstruction in insects,2026,yes,1,20,13,77
method,neuPrint,2026,sota,1,1,work_8627e5369ab9b3fe,10.1101/2024.04.21.590464,Connectomic Analysis of Mitochondria in the Central Brain of Drosophila,2026,yes,3,16,12,99
method,expansion microscopy,2026,sota,1,1,work_8fd6124f2a3e58a1,nan,A First Step for Expansion X-Ray Microscopy: Achieving Contrast in Expanded Tissues Sufficient to Reveal Cell Bodies,2026,yes,0,8,7,77
method,X-ray microscopy,2026,sota,2,1,work_8fd6124f2a3e58a1,nan,A First Step for Expansion X-Ray Microscopy: Achieving Contrast in Expanded Tissues Sufficient to Reveal Cell Bodies,2026,yes,0,8,7,77
method,ATUM + WaferMapper,2026,sota,1,1,work_a77b316df3ecbc0e,10.1016/j.crmeth.2026.101429,DRIFT-EM enables direct wafer retrieval of ultrathin serial sections for large-volume electron microscopy,2026,yes,0,16,12,35
method,MagC,2026,sota,1,1,work_a77b316df3ecbc0e,10.1016/j.crmeth.2026.101429,DRIFT-EM enables direct wafer retrieval of ultrathin serial sections for large-volume electron microscopy,2026,yes,0,16,12,35
method,electron tomography,2026,sota,1,1,work_efc0158084170b5d,10.1007/s10571-026-01676-z,Digging Deep into Alzheimer Disease: How Electron Microscopy Helps Elucidating Its Pathogenesis,2026,yes,0,3,3,35
method,CLEM,2026,sota,1,1,work_efc0158084170b5d,10.1007/s10571-026-01676-z,Digging Deep into Alzheimer Disease: How Electron Microscopy Helps Elucidating Its Pathogenesis,2026,yes,0,3,3,35
