facet,value,era,time_role,n_working_set,n_global_core,champion_work_id,champion_doi,champion_title,champion_year,champion_in_global_core,in,out,k_core,year_cites_percentile
method,ssTEM,2022–2023,history,3,1,work_69cca0faa382822e,10.3389/fncel.2023.1281786,Electrical synapses for a pooling layer of the convolutional neural network in retinas,2023,yes,1,7,6,13
method,SBF-SEM,2022–2023,history,1,1,work_6db95f64553b035d,10.1038/s41592-022-01621-0,Automated synapse-level reconstruction of neural circuits in the larval zebrafish brain,2022,yes,20,22,13,96
method,XNH,2022–2023,history,2,1,work_afad6093ed40df0c,10.48550/arxiv.2302.03819,The XPRESS Challenge: Xray Projectomic Reconstruction - Extracting Segmentation with Skeletons,2023,yes,1,16,13,28
method,CloudVolume/Igneous,2022–2023,history,1,1,work_d27171e633af746f,10.3389/fncir.2022.977700,"Igneous: Distributed dense 3D segmentation meshing, neuron skeletonization, and hierarchical downsampling",2022,yes,7,8,12,65
method,Connectome-constrained visual-system model,2022–2023,history,2,2,work_fafef48ad68a0f38,10.1101/2023.03.11.532232,Connectome-constrained deep mechanistic networks predict neural responses across the fly visual system at single-neuron resolution,2023,yes,6,12,13,87
method,Multibeam SEM,2022–2023,history,1,1,work_e2593bdd7b62aca2,10.3389/fnins.2023.1281098,msemalign: a pipeline for serial section multibeam scanning electron microscopy volume alignment,2023,yes,1,11,10,44
axis,registry_dataset,2024,sota,7,0,work_79981ad4ed5b69f7,10.1371/journal.pbio.3002918,Temperature cues are integrated in a flexible circadian neuropeptidergic feedback circuit to remodel sleep-wake patterns in flies,2024,,0,10,7,45
axis,pipeline_stage,2024,sota,112,20,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
axis,untagged,2024,sota,13,3,work_4fa3a9808ba6a3df,10.1016/j.crmeth.2025.100988,Comparative prospects of imaging methods for whole-brain mammalian connectomics,2024,,1,28,13,45
axis,health_translation,2024,sota,2,0,work_5672c64d21c23a39,10.1186/s13024-024-00712-0,Updates on mouse models of Alzheimer’s disease,2024,,0,0,0,98
axis,biological_application,2024,sota,3,0,work_97db5339b48de23b,10.1101/lm.053827.123,What do the mushroom bodies do for the insect brain? Twenty-five years of progress,2024,,0,4,4,54
stage,graph_analysis,2024,sota,68,11,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
stage,sectioning,2024,sota,5,1,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
stage,acquisition,2024,sota,16,1,work_29a46ffc83e815f5,10.1101/2024.08.27.609993,NeuroSC: Exploring Neurodevelopment via Spatiotemporal Collation of Anatomical Networks,2024,,1,17,12,23
stage,proofreading,2024,sota,30,6,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
stage,infrastructure,2024,sota,35,5,work_6cb6b38366a67f63,10.1162/netn_a_00428,Combined topological and spatial constraints are required to capture the structure of neural connectomes,2024,yes,3,25,13,75
stage,preparation,2024,sota,12,1,work_d803ce4772a77dc8,10.1101/2024.11.24.625067,Global Neuron Shape Reasoning with Point Affinity Transformers,2024,yes,8,20,13,67
stage,segmentation,2024,sota,23,3,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
stage,modeling,2024,sota,20,6,work_ceb66b1db1935fdb,10.1038/s41593-024-01784-3,Predicting modular functions and neural coding of behavior from a synaptic wiring diagram,2024,yes,3,23,13,89
stage,synapses,2024,sota,7,0,work_705030ef2bfb656f,10.1109/tmi.2024.3400276,WASPSYN: A Challenge for Domain Adaptive Synapse Detection in Microwasp Brain Connectomes,2024,,2,13,12,38
stage,alignment,2024,sota,2,0,work_8484909b8e4314f6,10.1101/2024.06.11.598365,A scalable and modular computational pipeline for axonal connectomics: automated tracing and assembly of axons across serial sections,2024,,1,3,4,45
organism,elegans,2024,sota,18,3,work_932e9c86e6b77869,10.1103/6wgv-b9m6,Diverging network architecture of the C. elegans connectome and signaling network,2024,yes,5,20,13,45
organism,fly,2024,sota,45,14,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
organism,other,2024,sota,6,0,work_a2a4a9ee0540ed54,10.1101/2024.05.24.593860,A connectome manipulation framework for the systematic and reproducible study of structure–function relationships through simulations,2024,,1,5,5,45
organism,mouse,2024,sota,25,2,work_97623cd3af206ac9,10.1146/annurev-vision-102122-110414,Retinal Connectomics: A Review.,2024,,1,40,8,50
organism,human,2024,sota,4,1,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
organism,zebrafish,2024,sota,2,1,work_ceb66b1db1935fdb,10.1038/s41593-024-01784-3,Predicting modular functions and neural coding of behavior from a synaptic wiring diagram,2024,yes,3,23,13,89
dataset,DS01 C. elegans (White+),2024,sota,18,3,work_932e9c86e6b77869,10.1103/6wgv-b9m6,Diverging network architecture of the C. elegans connectome and signaling network,2024,yes,5,20,13,45
dataset,DS03 Drosophila larva,2024,sota,4,1,work_13a5924450d152cf,10.1101/2023.10.25.562730,Hierarchical communities in the larval Drosophila connectome: Links to cellular annotations and network topology,2024,yes,11,13,13,85
dataset,DS09/DS10 mouse retina,2024,sota,4,0,work_97623cd3af206ac9,10.1146/annurev-vision-102122-110414,Retinal Connectomics: A Review.,2024,,1,40,8,50
dataset,DS13 MICrONS,2024,sota,4,1,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
dataset,DS14 H01 human cortex,2024,sota,2,1,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
dataset,DS15 zebrafish,2024,sota,2,1,work_ceb66b1db1935fdb,10.1038/s41593-024-01784-3,Predicting modular functions and neural coding of behavior from a synaptic wiring diagram,2024,yes,3,23,13,89
dataset,DS07 VNC (FANC/MANC),2024,sota,4,2,work_f957eea0477c4e04,10.1038/s41586-024-07389-x,Connectomic reconstruction of a female Drosophila ventral nerve cord,2024,yes,30,17,13,96
dataset,DS05 hemibrain,2024,sota,1,1,work_6f86d20c9bf6e84d,10.1038/s41586-024-07686-5,Whole-brain annotation and multi-connectome cell typing of Drosophila,2024,yes,41,18,13,99
dataset,DS06 FlyWire,2024,sota,5,2,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
dataset,DS19 songbird,2024,sota,1,0,work_8fdabecbe4e2c04e,10.1101/2024.11.27.625336,UniSPAC: A Unified Segmentation Framework for Proofreading and Annotation in Connectomics,2024,,0,0,0,7
dataset,DS16 calyx of Held,2024,sota,1,0,work_b866698ca919a87c,10.1126/science.adg6757,"Structure, biophysics, and circuit function of a “giant” cortical presynaptic terminal",2024,,2,0,2,92
method,ATUM + WaferMapper,2024,sota,1,0,work_0d6070f19ac2ba89,10.1101/2023.07.12.547497,ATUM-Tomo: A multi-scale approach to cellular ultrastructure by combined volume scanning electron microscopy and electron tomography,2024,,0,2,2,30
method,serial-section EM,2024,sota,3,1,work_1f5bc11fd70f625f,10.1126/science.adk4858,A petavoxel fragment of human cerebral cortex reconstructed at nanoscale resolution,2024,yes,79,22,13,100
method,electron tomography,2024,sota,2,0,work_0d6070f19ac2ba89,10.1101/2023.07.12.547497,ATUM-Tomo: A multi-scale approach to cellular ultrastructure by combined volume scanning electron microscopy and electron tomography,2024,,0,2,2,30
method,CLEM,2024,sota,2,1,work_783a1dd4e73fe636,10.1038/s41467-024-50411-z,Multiplexed volumetric CLEM enabled by scFvs provides insights into the cytology of cerebellar cortex,2024,yes,3,14,11,60
method,confocal,2024,sota,3,2,work_0e82b896b4b49d23,10.1101/2023.09.15.557808,Driver lines for studying associative learning in Drosophila,2024,yes,3,18,13,80
method,TEM,2024,sota,1,0,work_1c4e68a0ac51bff8,10.1016/j.cub.2024.08.025,Serotonergic modulation of swallowing in a complete fly vagus nerve connectome,2024,,2,14,12,77
method,neuPrint,2024,sota,1,0,work_1f2d549356fe466e,10.1101/2023.06.05.543407,Systematic annotation of a complete adult male Drosophila nerve cord connectome reveals principles of functional organisation,2024,,15,0,10,95
method,Network motifs,2024,sota,3,0,work_34df5eb3d913abe2,10.1140/epjb/s10051-024-00848-4,Discovering motifs to fingerprint multi-layer networks: a case study on the connectome of C. Elegans,2024,,1,6,6,16
method,Connectome-constrained visual-system model,2024,sota,3,2,work_5d14dfa16e4b8cf3,10.1038/s41593-025-02080-4,Prediction of neural activity in connectome-constrained recurrent networks,2024,yes,5,22,11,87
method,light-sheet,2024,sota,2,1,work_4fa3a9808ba6a3df,10.1016/j.crmeth.2025.100988,Comparative prospects of imaging methods for whole-brain mammalian connectomics,2024,,1,28,13,45
method,FlyWire,2024,sota,5,2,work_86ba4bfd64350171,10.1038/s41586-024-07558-y,Neuronal wiring diagram of an adult brain,2024,yes,61,49,13,99
method,XNH,2024,sota,2,1,work_f957eea0477c4e04,10.1038/s41586-024-07389-x,Connectomic reconstruction of a female Drosophila ventral nerve cord,2024,yes,30,17,13,96
method,X-ray microscopy,2024,sota,2,0,work_74ae11cddb4ef3c5,10.1117/12.3028309,Cell nuclei segmentation in mm-scale x-ray holographic nanotomography images of mouse brain tissue,2024,,1,10,10,30
method,U-Net,2024,sota,1,0,work_902cf6d1376f15b8,10.1109/wacv57701.2024.00765,Self-Supervised Edge Detection Reconstruction for Topology-Informed 3D Axon Segmentation and Centerline Detection,2024,,1,1,2,54
method,ilastik interactive ML,2024,sota,1,0,work_a5aafa50c460274e,10.1038/s41596-024-00957-5,"Modular segmentation, spatial analysis and visualization of volume electron microscopy datasets",2024,,0,3,3,82
method,two-photon,2024,sota,3,0,work_daa2fa8d0d038ecd,10.1016/j.cub.2023.12.047,Descending control and regulation of spontaneous flight turns in Drosophila,2024,,0,4,4,72
method,super-resolution LM,2024,sota,1,0,work_b866698ca919a87c,10.1126/science.adg6757,"Structure, biophysics, and circuit function of a “giant” cortical presynaptic terminal",2024,,2,0,2,92
method,FIB-SEM,2024,sota,1,0,work_d1f2442f6d43b0fa,10.3389/fnana.2024.1348032,Unambiguous identification of asymmetric and symmetric synapses using volume electron microscopy,2024,,0,5,5,67
axis,untagged,2025,sota,14,2,work_75371f7313f33c66,10.1038/s41583-025-00998-z,Synaptic-resolution connectomics: towards large brains and connectomic screening,2025,yes,5,35,13,87
axis,pipeline_stage,2025,sota,137,23,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
axis,training_outreach,2025,sota,2,0,work_bbd9387a25c87eb2,10.59390/001c.154223,An Advanced Undergraduate Laboratory Course: Calcium Imaging and Data Analysis – a Mini Graduate Research Experience,2025,,0,1,1,14
axis,registry_dataset,2025,sota,15,4,work_b67a92b47c45e7c3,10.1101/2025.09.30.679510,The central complex of the larval fruit fly brain,2025,,1,14,10,51
axis,health_translation,2025,sota,1,0,work_ec203e98203cd559,10.3390/brainsci15030310,Olfactory Testing and Gray Matter Volume: A Combined Approach to Predict the Conversion to Alzheimer,2025,,0,0,0,61
stage,acquisition,2025,sota,21,4,work_8443aa3a33e10095,10.7554/elife.88824,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,2025,yes,3,29,13,73
stage,segmentation,2025,sota,37,6,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
stage,graph_analysis,2025,sota,76,14,work_4422d2e92d67043e,10.1016/j.cag.2025.104391,"Deep learning for brain electron microscopy segmentation: Advances, challenges, and future directions in connectomics and ultrastructure analysis",2025,,1,33,13,76
stage,proofreading,2025,sota,47,5,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
stage,infrastructure,2025,sota,61,6,work_69a812a079debc62,10.1038/s41592-024-02426-z,CAVE: Connectome Annotation Versioning Engine,2025,yes,8,37,13,98
stage,preparation,2025,sota,11,3,work_9d8ce18df11df9cc,10.1038/s41586-025-08985-1,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,2025,yes,21,15,12,99
stage,sectioning,2025,sota,11,3,work_8443aa3a33e10095,10.7554/elife.88824,The unique synaptic circuitry of specialized olfactory glomeruli in Drosophila melanogaster,2025,yes,3,29,13,73
