class,jaccard,preprint_wid,published_wid,preprint_doi,published_doi,cites_a,cites_b,cites_summed,years,title,in_working_view
near_duplicate,0.909,work_1af871733acb131c,work_54277ff4a5492d4d,10.1002/hbm.25984,10.1136/jnnp-2022-bnpa.21,9,0,9,2022/2022,21 Abnormal white-matter rich-club organization in obsessive-compulsive disorder,neither
near_duplicate,0.9,work_c6fb52119d27ebd2,work_23619b861b430797,10.1016/j.ijchp.2025.100551,10.1093/ijnp/pyaf052.060,6,1,7,2025/2025,405. AN ELECTROENCEPHALOGRAPHY CONNECTOME PREDICTIVE MODEL OF CRAVING FOR METHAMPHETAMINE,neither
near_duplicate,0.895,work_1143d78caa30689f,work_8347b1b95882d657,10.7554/elife.71981.sa2,10.7554/elife.71981,0,29,29,2021/2021,Partial connectomes of labeled dopaminergic circuits reveal non-synaptic communication and axonal re,one
near_duplicate,0.889,work_d293a4127c914354,work_7532b67c878dd40c,,10.1109/globalsip.2013.6736878,1,55,56,2013/2013,MIGRAINE: MRI Graph Reliability Analysis and Inference for Connectomics,neither
near_duplicate,0.889,work_2e89582f1e165cd3,work_03af12da3a95c029,10.7554/elife.40247,10.7554/elife.40247.049,57,1,58,2018/2018,Author response: Convergence of monosynaptic and polysynaptic sensory paths onto common motor output,one
near_duplicate,0.882,work_90b88435719f3720,work_20710f84520e8e6f,10.7554/elife.59614.sa2,10.7554/elife.59614,1,26,27,2020/2020,Ubiquitin-dependent regulation of a conserved DMRT protein controls sexually dimorphic synaptic conn,one
near_duplicate,0.875,work_4a882767161927d6,work_784400c91f3cd26f,10.7554/elife.43194.024,10.7554/elife.43194,0,15,15,2019/2019,Accelerated redevelopment of vocal skills is preceded by lasting reorganization of the song motor ci,both
near_duplicate,0.875,work_342e4a8de557f976,work_e970ae065dc09da2,10.1093/braincomms/fcad055,10.1161/str.54.suppl_1.7,11,0,11,2023/2023,Abstract 7: Prediction Of Post-stroke Motor Recovery Benefits From Measures Of Sub-acute Widespread ,neither
near_duplicate,0.867,work_fb4d76e8870731a5,work_53cc2303c5e1753d,10.7554/elife.64694,10.7554/elife.64694.sa2,74,1,75,2021/2021,Author response: An expanding manifold in transmodal regions characterizes adolescent reconfiguratio,neither
near_duplicate,0.857,work_89a1c3d1c130ab2c,work_74fbfda1e48554b7,10.7554/elife.26349.042,10.7554/elife.26349,2,80,82,2017/2017,Synaptic and peptidergic connectome of a neurosecretory center in the annelid brain,neither
near_duplicate,0.846,work_668bc7521b208f67,work_a2ef05829542860a,10.1038/s41598-024-64845-4,10.1093/neuonc/noac209.1164,1,0,1,2024/2022,MODL-37. DISCERNIBLE INTERINDIVIDUAL PATTERNS OF GLOBAL EFFICIENCY DECLINE DURING THEORETICAL BRAIN ,neither
near_duplicate,0.833,work_a35b2a0f4328b341,work_26961d66f5e6753f,10.1038/lsa.2017.153,10.1038/s41377-018-0021-1,128,11,139,2017/2018,Erratum: Author Correction: Skull optical clearing window for in vivo imaging of the mouse cortex at,one
near_duplicate,0.833,work_d1744737290f5238,work_d4978a811ee67bb0,10.1038/s41467-019-12867-2,10.1038/s41467-017-01285-x,12,1267,1279,2019/2017,The challenge of mapping the human connectome based on diffusion tractography,neither
near_duplicate,0.818,work_2a0b22b03d050806,work_203770249483926c,10.1016/j.wneu.2021.03.045,10.1002/ca.23523,102,106,208,2021/2019,Anatomy and White Matter Connections of the Superior Frontal Gyrus,neither
near_duplicate,0.818,work_af61a56e13719e47,work_d558ef09c2a0a371,10.3389/fninf.2015.00020,,26,0,26,2014/2014,An Automated Images-to-Graphs Pipeline for High Resolution Connectomics,neither
near_duplicate,0.8,work_42f103b2bd408bf9,work_cf8597f57b9fa631,10.1016/j.neuroimage.2017.10.028,10.1016/j.neuroimage.2019.01.044,154,15,169,2017/2019,Reprint of: Mapping human brain lesions and their functional consequences,one
near_duplicate,0.8,work_189e64868871c682,work_27d1d9fcff673de6,,10.1016/j.neuroimage.2012.06.002,0,190,190,2011/2012,Human cortical connectome reconstruction from diffusion weighted MRI: The effect of tractography alg,neither
near_duplicate,0.789,work_d71db7b8e5b2b2cd,work_b3bb626c156d60fc,10.1016/j.margen.2020.100783,10.1007/s00338-021-02213-8,7,0,7,2020/2022,De novo assembly and functional annotation of the nervous system transcriptome in the Caribbean spin,neither
near_duplicate,0.778,work_317560e823eea036,work_e80c6bc77f7211bd,10.1109/msp.2010.936775,,28,17,45,2010/2010,"Human Brain Connectomics : Networks , Techniques , and Applications",neither
near_duplicate,0.75,work_8a9b4070c9c7d960,work_ba35af28814b98ba,10.7551/mitpress/9266.001.0001,10.1016/b978-0-12-374709-9.00014-6,143,176,319,2012/2009,The Human Connectome,one
near_duplicate,0.75,work_d98a322178dafa2e,work_eabf2ea20ba6564c,,10.1002/cne.11027,0,25,25,2003/2004,Synaptic connectivity of the diffuse bipolar cell type DB6 in the inner plexiform layer of primate r,one
near_duplicate,0.75,work_c700043aaf02b71f,work_e1729e254cf16f0b,10.1093/ons/opy266,10.1093/ons/opy264,20,49,69,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic Description of the Superior Long,neither
near_duplicate,0.75,work_c700043aaf02b71f,work_ebb5cbb34f978077,10.1093/ons/opy266,10.1093/ons/opy265,20,43,63,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic Description of the Inferior Long,neither
near_duplicate,0.75,work_e1729e254cf16f0b,work_ebb5cbb34f978077,10.1093/ons/opy264,10.1093/ons/opy265,49,43,92,2018/2018,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic Description of the Inferior Long,neither
near_duplicate,0.75,work_ea7604fdccc831d7,work_ba35af28814b98ba,10.1167/11.15.8,10.1016/b978-0-12-374709-9.00014-6,147,176,323,2011/2009,The Human Connectome,neither
near_duplicate,0.75,work_7f1202eef0e8289e,work_165f100ce8761153,10.7554/elife.26414,,64,0,64,2017/2017,"SynEM , Automated synapse 1 detection for connectomics 2",one
near_duplicate,0.75,work_7f1202eef0e8289e,work_e47b5df65b344c69,10.7554/elife.26414,10.7554/elife.26414.042,64,1,65,2017/2017,"Author response: SynEM, automated synapse detection for connectomics",one
